cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.9227,0,7936.46,-0.0633178,19.6372,10.1057,117.446,-0.118884,61.5361,499.878,-2.92585,-8.84488,-8.66973,-3.21595,-4.05186,-139.528,362.013,35.5358,8780.5,6698.28,-2.04728,-7.96631,-6.91258,-2.33738,-3.17328,0.691909,473.153,45.6394,8891.64,0.0505246,0.855577,0.00936667,9364.8,-0.0012072,0.0472105,9.89157,14.0511,118.568,92.2111,0.99929,10.2423,10.4992,116.804,134.835,1.76384,-42.6238 
1,46.9727,1,7947.29,-0.0591259,19.3302,10.1012,117.637,-0.0452561,32.3005,500,-2.32306,-4.19808,-5.79964,2.34313,-1.17208,-31.1642,456.624,25.4835,8580.54,6403.89,-2.12682,-4.00184,-5.40718,2.53936,-0.975844,0.457782,481.448,27.7402,8605.37,0.0529831,0.908404,0.00590315,9086.82,-0.00100865,0.0716692,-8.70593,10.6825,117.864,89.459,1.00935,10.2513,10.1219,116.965,134.735,0.899293,-45.2756 
2,47.0227,2,8643.65,-0.0176356,20.2347,10.4239,117.465,0.0078843,12.9778,500,-7.42215,-5.57772,-5.59375,-2.56764,-2.39949,-73.3798,702.614,63.1406,9062.25,6869.66,-6.9601,-5.11567,-4.66965,-2.10559,-1.93744,0.775373,761.063,68.4542,9120.7,0.0770169,0.864002,0.0136371,9881.77,-0.00099885,0.0934305,9.28948,10.4548,117.543,89.2009,0.974913,10.5074,10.8087,116.739,136.239,0.803586,-47.0379 
3,47.0727,3,8890.27,-0.275157,21.4775,10.4441,117.647,0.407235,-316.395,356.683,-5.8936,-7.73249,-8.316,-3.69233,-6.86805,-120.407,1075.82,63.4578,8997.75,11496.5,-5.13543,-6.97431,-6.79965,-2.93416,-6.10987,0.756751,1171.73,72.1767,9093.66,0.114144,0.902692,0.0144102,10265.4,-0.00103153,0.137029,10.0724,10.2077,117.261,87.386,0.974342,10.4541,10.7191,116.978,134.52,0.282416,-47.1338 
4,46.7727,4,8647.67,-0.0231621,20.4228,10.1925,117.632,-0.0196433,38.7754,500,-6.71328,-7.10846,-6.00947,-8.22531,-4.10997,-162.689,239.439,64.6115,9470.89,6801.08,-5.68888,-6.08405,-3.96066,-7.2009,-3.08557,0.847784,369.026,76.3922,9600.47,0.0370155,0.73407,0.0144461,9969.5,-0.000647536,-0.0133794,9.72607,2.0228,105.975,76.0072,1.07049,10.321,10.4297,117.016,134.893,-11.0418,-58.8853 
5,47.1227,5,9456.26,-0.0939519,22.0076,10.5117,117.576,0.0580518,118.941,1.75235,-6.51963,-3.41025,-15.0493,-1.21228,-5.96114,-130.786,1597.93,43.1821,8993.46,7755.54,-5.69611,-2.58673,-13.4022,-0.388755,-5.13762,0.507478,1702.11,52.6527,9097.63,0.157606,0.948646,0.0105487,10799.7,-0.0010932,0.213046,9.91039,9.48612,117.073,86.8614,0.933465,10.8,11.0139,116.935,134.729,0.137864,-47.8675 
6,46.8227,6,8498.03,-0.0468274,20.3083,10.2701,117.595,0.184849,-104.319,500,-8.87646,-3.25095,-2.58457,-5.23454,-3.20597,-177.279,254.446,53.7304,9381.15,7417.33,-7.76018,-2.13467,-0.352011,-4.11826,-2.08969,0.978607,395.656,66.5676,9522.36,0.0398926,0.77254,0.0127138,9918.02,-0.00117475,0.0310734,12.0337,-17.1616,119.496,97.9997,1.05309,10.4652,10.3474,116.949,134.349,2.54693,-36.3489 
7,46.2727,7,8005.42,-0.2382,19.702,10.197,117.517,0.219114,-141.676,119.494,-8.71332,-5.35836,-9.40666,-5.94023,-2.40381,-185.941,93.1499,34.3126,9088.65,7550.59,-7.5425,-4.18754,-7.06501,-4.76941,-1.23299,0.715091,241.259,47.7771,9236.76,0.0254546,0.742635,0.00943834,9478.02,-0.000885172,-0.00144578,7.32886,0.690354,113.091,74.496,1.06318,10.1243,10.2596,116.913,134.87,-3.82246,-60.3741 
8,46.6727,8,7706.89,-0.00942022,18.9674,10.1108,117.561,0.0158363,16.1191,500,-5.30217,-6.14417,-1.63547,-2.72808,-5.36187,-131.551,79.1491,34.6687,8905.3,6251.25,-4.47383,-5.31583,0.0212051,-1.89974,-4.53353,1.00131,183.934,44.1946,9010.09,0.0200058,0.703987,0.00895465,9194.02,-0.000950855,-0.00823253,-12.8513,-10.0864,123.627,65.9994,1.01263,10.3811,10.342,116.959,134.393,6.66816,-68.3936 
9,46.8727,9,8004.69,-0.0155479,19.7561,10.0132,117.479,0.0173068,-62.7409,500,-4.60082,-4.53862,-7.37598,0.821123,-2.36094,-116.954,282.401,47.9976,8982.59,6475.12,-3.86439,-3.80219,-5.90312,1.55755,-1.62451,0.567114,375.559,56.4665,9075.74,0.0397363,0.791692,0.0113311,9451.3,-0.000744385,-0.0170856,0.0508298,23.6413,118.308,86.9524,1.00922,10.2515,10.4806,116.814,134.677,1.49365,-47.725 
