cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,45.7835,0,35059.8,-0.00180831,62.9427,12.5,117.278,-0.00532884,-49.1181,500,-8.7869,-9.97268,-10.9045,-2.49176,-3.48953,-173.924,1973.26,61.8806,33432.1,25620.9,-7.69175,-8.87753,-8.71421,-1.39661,-2.39438,0.70028,2111.8,74.4748,33570.7,0.0591831,0.941872,0.00406999,35682.5,-0.0013827,0.243509,-10.3439,9.88038,117.147,88.1233,2.75808,12.904,11.9125,116.624,136.045,0.52331,-47.922 
1,44.9835,1,34211.6,-0.00858376,60.8493,12.6729,117.081,-0.0625605,41.4372,500,-12.8218,-7.58524,-6.67012,-4.46251,-7.19276,-76.8597,134.307,70.7482,34403,25187.4,-12.3378,-7.10127,-5.70219,-3.97854,-6.70879,0.840848,195.528,76.3138,34464.2,0.00564137,0.594171,0.00406239,34659.7,-0.00116328,-0.0227936,10.3612,8.61386,113.415,71.7404,2.85171,12.937,11.8574,116.364,135.854,-2.94877,-64.1139 
2,45.6335,2,34209.6,-0.0726254,61.4222,12.5054,117.262,-0.133879,265.521,2.58135e-12,-10.115,-8.68742,-10.0448,-1.91762,-3.16311,-131.692,2023.66,63.719,32426.9,26161.7,-9.28572,-7.85819,-8.38633,-1.08839,-2.33388,0.710342,2128.56,73.2551,32531.8,0.0614119,0.943194,0.00413092,34660.3,-0.00121769,0.252811,10.4549,9.75008,116.752,87.8302,2.68672,12.8624,11.8751,116.626,136.105,0.125924,-48.2749 
3,45.0835,3,33342.3,-0.362375,60.3924,12.6503,117.286,-0.215438,656.398,441.503,-9.23964,-9.56934,-12.8794,-4.40074,-1.82139,-75.5958,93.3472,49.6049,33631.1,29473.5,-8.76363,-9.09334,-11.9274,-3.92474,-1.34538,0.659747,153.562,55.079,33691.3,0.00453723,0.61437,0.00300245,33844.9,-0.00107943,-0.0326021,-14.3881,-6.82081,111.694,75.0376,2.75906,12.8246,12.0619,116.49,136.408,-4.79624,-61.3705 
4,45.4335,4,33653.9,-0.0241775,59.3175,12.7865,117.141,-0.0510144,40.5477,0.0349268,-10.7108,-6.954,-14.8998,-4.30278,-2.64489,-28.868,45.6905,37.9197,33743.6,24757.8,-10.529,-6.77223,-14.5362,-4.12101,-2.46311,0.621665,68.6849,40.0101,33766.6,0.00202998,0.495196,0.00217796,33835.3,-0.00098111,-0.0275186,14.2629,7.37645,112.865,74.1515,2.73634,13.032,12.0287,116.42,136.617,-3.55444,-62.4653 
5,45.8835,5,34688.5,-0.281809,64.1899,12.2178,117.425,26.1791,-77357.4,346.881,-2.37642,-0.306055,-1.50161,-0.885154,-2.13393,-69.9528,24102.6,66.3745,11035.3,6.59507e+07,-1.93594,0.134419,-0.62066,-0.44468,-1.69345,0.8639,24158.4,71.4399,11091,0.685355,0.994852,0.0117263,35249.4,-0.00130546,2.3212,12.7383,10.3531,116.878,87.0817,1.03668,11.5563,11.445,117.02,136.261,-0.142946,-49.179 
6,45.2835,6,34748.5,-0.0282939,61.9819,12.7281,117.058,-0.0634192,50.5306,500,-9.44582,-8.53452,-16.0934,-4.52505,-4.37407,-75.6658,188.035,67.0278,35031,25786,-8.96937,-8.05808,-15.1405,-4.04861,-3.89763,0.622565,248.306,72.5069,35091.3,0.00702626,0.661808,0.00379179,35339.6,-0.00141238,-0.00343234,11.104,-0.0530099,122.903,75.4329,2.82624,13.0003,12.1238,116.379,136.379,6.52366,-60.9466 
7,45.8335,7,33051.4,-0.23815,61.653,-12.0827,117.528,0.459645,-511.267,9.89416,-4.27104,-5.32342,-7.04849,-1.86473,-1.75058,-140.277,11951.6,41.1895,21502.2,31900.1,-3.38775,-4.44014,-5.28192,-0.981444,-0.867291,0.646896,12063.3,51.3473,21613.9,0.358204,0.992606,0.00435715,33677.2,-0.00111119,1.26089,11.8614,10.0834,117.114,87.0014,1.87381,12.3934,11.6122,116.855,136.192,0.258529,-49.1906 
8,45.1835,8,34677.9,-0.204358,62.6181,12.5514,117.181,0.201586,-27.4361,500,-4.16502,-10.6331,-9.7771,-4.9917,-5.06175,-78.8464,234.761,37.8613,34704.7,25765.2,-3.66854,-10.1367,-8.78415,-4.49523,-4.56527,0.722458,297.565,43.5707,34767.5,0.00848609,0.796025,0.00230322,35065,-0.00184741,0.00746737,-13227.4,-9.92391,145.83,88.4002,2.91072,12.8317,11.8401,116.462,136.524,29.3683,-48.1236 
9,45.1335,9,32410.4,-0.30267,59.4839,12.4122,116.944,-0.188513,232.348,499.999,-5.35428,-9.80337,-12.2041,-5.97075,-5.74823,-148.335,255.625,51.3215,32583.2,25460.8,-4.42025,-8.86934,-10.336,-5.03673,-4.81421,0.691245,373.779,62.0628,32701.4,0.0113009,0.77485,0.00348389,33075.2,-0.00221879,0.0271842,5.5713,10218,125.893,81.9828,2.78429,12.5903,11.6803,116.134,135.65,9.75876,-53.6668 
