cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.9259,0,9434.08,0.00381396,20.0565,11.2593,116.744,-0.00404591,-22.257,7.84617e-10,-4.90055,-4.4848,-5.33106,0.1937,-2.60285,-72.3425,151.068,90.2112,10281.3,7354.17,-4.44503,-4.02928,-4.42001,0.649221,-2.14733,0.692893,208.692,95.4497,10338.9,0.0197857,0.555432,0.0167221,10547.6,-0.000747681,-0.0155939,13.8548,7.23678,109.526,72.4165,0.920961,11.3666,12.1854,116.043,135.25,-6.51792,-62.8331 
1,48.1259,1,10267.1,-0.100421,21.6935,11.5979,116.75,-0.000146348,306.232,0.000518821,-1.15702,-3.39408,-7.7153,-1.5704,-1.03525,-21.3402,724.948,82.2474,10696.8,8191.82,-1.02265,-3.2597,-7.44655,-1.43603,-0.900881,0.470592,741.946,83.7927,10713.8,0.0647663,0.834976,0.0142025,11455.8,-0.00140527,0.0766187,11.4968,12.4019,117.222,90.8959,0.9047,11.8117,12.5781,115.998,135.753,1.22424,-44.8568 
2,47.5259,2,9884.65,-0.277286,21.4526,11.4741,116.549,0.204589,-618.217,423.221,-1.89372,-4.1835,-11.0485,-4.1783,-3.81149,-156.807,108.752,91.9606,10946,12130.4,-0.906352,-3.19613,-9.07375,-3.19093,-2.82412,0.527194,233.654,103.315,11071,0.0206689,0.563761,0.0169002,11304.6,-0.0010502,-0.0138997,14.9104,6.90948,104.871,76.9288,0.97961,11.568,12.1027,115.863,135.373,-10.9921,-58.444 
3,47.6259,3,10715.1,-0.0155301,22.198,11.4185,116.56,0.00508963,13.8557,7.30455e-12,-4.33425,-5.20656,-3.5432,-1.11133,-0.671806,-82.2602,74.6625,101.462,11534.7,8253.48,-3.81628,-4.68859,-2.50726,-0.593357,-0.153835,0.786786,140.186,107.419,11600.3,0.0119404,0.427176,0.0167719,11740.4,-0.000786198,-0.012159,16.6922,8.2043,111.402,76.5499,1.01382,11.5473,12.2914,115.827,135.577,-4.42449,-59.0271 
4,47.7259,4,11333.3,-0.273299,23.8813,11.6061,116.518,0.0250891,-82.0038,231.93,-3.46303,-2.37494,-1.9415,-0.312921,-3.77099,-67.7812,178.705,164.108,12148.5,9089.75,-3.03623,-1.94814,-1.0879,0.113879,-3.34419,0.883054,232.696,169.016,12202.5,0.0187127,0.440316,0.0248801,12435.2,-0.000790788,-0.0142949,15.5308,9.85389,114.137,72.0397,1.05423,11.5584,12.4788,115.866,135.524,-1.72834,-63.4843 
5,48.3259,5,8174.88,-0.213946,18.1249,11.1356,117.305,-0.0434657,244.138,497.829,-1.18433,0.12781,2.10648,1.01701,-3.62322,-153.078,4788.74,28.4835,4385.22,6915.76,-0.220438,1.0917,4.03426,1.9809,-2.65932,0.0456209,4910.67,39.5682,4507.15,0.521423,0.986095,0.0159144,9417.83,-0.000980659,0.557689,10.963,-9.76458,116.814,87.5026,0.409954,11.5228,11.4523,116.584,135.714,0.230343,-48.2111 
6,47.4259,6,10993.9,-0.268954,23.3583,11.5292,116.556,0.0859441,-267.226,7.96665,-2.14889,-2.33605,-8.547,-4.89481,-3.25721,-206.94,139.129,103.893,11925.4,9514.36,-0.84585,-1.033,-5.94091,-3.59177,-1.95416,0.555511,303.964,118.878,12090.2,0.0245247,0.593679,0.0177904,12394.2,-0.000838869,-0.0121198,21.5865,7.5907,116.16,74.4613,1.04885,11.4088,12.3987,116.005,135.885,0.155392,-61.4241 
7,48.1759,7,10439.9,-0.0914498,21.7096,11.6745,116.734,0.0206276,-54.5944,3.67393e-08,-2.78422,-1.93224,-0.34447,-5.14453,-0.0608478,-86.7719,294.493,113.263,11213.2,8287.24,-2.23784,-1.38586,0.748288,-4.59815,0.485532,1.10708,363.61,119.546,11282.3,0.0312221,0.634777,0.019145,11645.9,-0.000800322,-0.0116402,16.0606,7.62073,114.854,71.4781,0.967026,11.7968,12.3141,116.023,136.04,-1.16894,-64.5619 
8,48.2759,8,10750.8,-0.226577,22.5782,11.4809,116.61,0.193413,-222.486,280.74,-4.6088,-5.05468,-0.688279,-3.39953,-4.9394,-137.547,634.879,129.608,11032.5,9839.22,-3.74271,-4.18858,1.04392,-2.53343,-4.0733,1.07736,744.44,139.568,11142.1,0.0626289,0.75296,0.0225541,11886.5,-0.00116985,0.0490604,13.1651,17.9459,117.885,98,0.992721,11.4772,11.9718,115.987,136.083,1.89888,-38.0825 
9,47.8759,9,11183.4,-0.202896,22.6307,11.7508,116.565,-0.0144913,-166.052,118.009,-5.06984,-1.9915,-3.6144,-1.29228,-5.57854,-87.0069,304.463,119.862,11721.3,8735.19,-4.52198,-1.44364,-2.51868,-0.744419,-5.03068,0.823367,373.767,126.162,11790.6,0.0307263,0.628655,0.0193299,12164.4,-0.000546852,-0.0111026,25.4185,6.478,103,75.6722,0.995611,11.8237,12.4422,115.814,136.091,-12.8145,-60.4192 
