cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.0227,0,8613.02,-0.207103,20.5772,10.2334,117.537,0.996058,-276.267,278.533,-1.31769,-3.61437,-8.53544,-0.555023,-3.32469,-177.057,41.5778,64.5765,9597.03,15812.8,-0.202812,-2.49949,-6.30568,0.559857,-2.20981,0.408358,182.61,77.3977,9738.07,0.018407,0.574145,0.0144297,9920.68,-0.000673977,-0.00892269,14.9516,11.4964,113.855,71.4889,1.09949,10.2727,10.3095,116.944,134.99,-3.08871,-63.5016 
1,46.4227,1,8869.47,-0.0102848,20.5057,-10.4048,117.227,-0.0128291,13.2765,500,-5.25066,-1.82933,-4.6869,-7.0092,-4.25321,-125.233,18.9792,39.4116,9875.94,6951.06,-4.46211,-1.04078,-3.10978,-6.22064,-3.46465,0.830048,118.732,48.48,9975.69,0.0117621,0.583242,0.00887286,10094.4,-0.000606299,-0.0135946,27.0433,7.57773,109.688,77.3118,1.07327,10.4683,10.6717,116.613,135.458,-6.92574,-58.1466 
2,47.2227,2,8134.61,-0.126939,20.0803,10.1662,117.731,0.0930908,86.8345,0.0114385,-4.96564,-4.02321,-7.42458,-2.35437,-2.67531,-187.163,2274.19,34.412,7141.81,6908.6,-3.78713,-2.84469,-5.06755,-1.17586,-1.4968,0.647402,2423.27,47.965,7290.89,0.249458,0.966521,0.0119736,9714.16,-0.00110205,0.316326,9.69809,9.17116,117.504,87.2312,0.798552,10.334,10.5251,117.05,135.506,0.453813,-48.2752 
3,46.2227,3,7806.35,-0.121497,19.5213,10.0204,117.712,-0.0872863,170.006,2.33665,-4.40165,-4.65598,-7.27205,-6.65262,-8.75488,-192.699,-57.3337,37.6972,9183.06,6850.84,-3.18828,-3.44261,-4.8453,-5.43924,-7.54151,0.801884,96.1579,51.651,9336.55,0.0101941,0.515462,0.0100879,9432.71,-0.000707041,-0.00399222,-13.6692,4404.87,103,66.7534,1.06482,10.2565,10.2701,117.093,135.245,-14.0925,-68.4913 
4,46.8727,4,8333.22,-0.00757274,19.3154,10.2323,117.659,-0.0233824,-5.11147,500,-3.84734,-5.74887,-12.0852,-3.76092,-6.29338,-82.0759,27.8244,20.6809,9177.59,6437.76,-3.33052,-5.23206,-11.0515,-3.24411,-5.77657,0.614052,93.2009,26.6242,9242.97,0.00998278,0.666705,0.00527815,9336.17,-0.000569053,-0.0135272,15.8209,7.94852,110.868,74.6086,1.04359,10.3146,10.3793,117.067,134.774,-6.19893,-60.1654 
5,46.2727,5,8062.2,-0.225869,19.5372,10.2746,117.421,0.131969,793.988,484.039,-5.56061,-3.54831,-6.42907,-5.33517,-3.35155,-118.041,-2.84465,46.8303,9182.48,9945.66,-4.81734,-2.80504,-4.94252,-4.59189,-2.60828,0.749936,91.1796,55.378,9276.5,0.00973342,0.484763,0.0108772,9367.68,-0.000763179,-0.0146999,-21.5064,8.19024,108.8,79.6318,1.05158,10.2647,10.3748,116.831,135.087,-8.03102,-55.4556 
6,47.0727,6,8364.48,-0.209954,19.972,10.6123,117.389,0.651643,1568.26,185.949,-4.29639,-4.31532,-7.45053,-1.08704,-2.02592,-103.654,8.85079,40.7035,9542.76,40167.3,-3.6437,-3.66264,-6.14517,-0.434359,-1.37323,0.597279,91.4152,48.2093,9625.32,0.00940801,0.52005,0.00914201,9716.74,-0.000836974,-0.0110345,15.3733,11.1248,116.436,75.4468,1.02858,10.4846,10.7578,116.788,135.585,-0.352526,-60.1382 
7,47.1227,7,7833.46,-0.0400395,19.5656,9.92113,117.662,0.0338749,13.8572,4.41405,-4.73691,-5.91672,-13.7652,-3.43914,-1.7999,-173.945,12.0922,17.986,9070.22,6334.29,-3.64163,-4.82144,-11.5747,-2.34386,-0.704616,0.498632,150.645,30.5817,9208.78,0.0160956,0.737867,0.00608031,9359.42,-0.00089919,-0.0147508,15.4689,9.30409,110.478,75.2064,1.05384,10.1961,10.2938,117.152,135.025,-6.67445,-59.8182 
8,46.7727,8,8353.75,-0.0321664,19.8928,10.2402,117.69,-0.193025,190.109,500,-5.33491,-2.31119,-5.92026,-1.44061,-6.47095,-180.572,-8.17012,47.41,9501.23,7825.89,-4.19789,-1.17417,-3.64623,-0.303597,-5.33393,0.751209,135.662,60.4857,9645.06,0.0138704,0.56172,0.0114202,9780.73,-0.000781029,-0.0143701,-12.5004,-10.5837,114.182,75.8985,1.09169,10.3609,10.1779,116.981,134.677,-2.79887,-58.7789 
9,47.1727,9,8851.94,-0.189241,20.8356,10.2583,117.507,0.913044,-826.94,55.8135,-4.66403,-1.89726,-8.20559,-0.799552,-6.03214,-142.189,33.9534,44.9559,9731.94,31536.7,-3.7687,-1.00193,-6.41494,0.0957728,-5.13681,0.604666,147.212,55.2521,9845.2,0.0147324,0.603567,0.0102323,9992.41,-0.000534678,-0.0117294,19.8552,8.46754,115.539,73.8642,1.10589,10.2014,10.4485,116.946,135.777,-1.40636,-61.9125 
10,46.5227,10,8895.33,-0.0205448,20.616,-10.3028,117.529,-0.00669686,9.02197,500,-5.20847,-4.62483,-6.09961,-3.53775,3.09923,-97.2433,-9.03608,77.6233,9874.45,6916.36,-4.59616,-4.01251,-4.87498,-2.92543,3.71154,0.616069,68.4218,84.6649,9951.91,0.0068283,0.315911,0.0154297,10020.3,-0.000586748,-0.0129185,16.9519,10.5176,111.98,74.9329,1.07898,10.3889,10.6572,116.815,134.821,-4.83513,-59.8882 
