cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,140,0,52498.3,0,5,131,50,0,5,135,-763.556,1022.54,50066.6,2087.59,228.445,382.257,-15.4811,0.468011,-21.7806,21322.4,-1107.94,678.154,49403.3,1743.21,-115.937,2421.36,-1223.88,0.976335,0.0478522,-0.0241869,0.0236653,-18.5968,-1.08984,-24.8963,0.406631,0.906983,0.074621,-45.7337 
1,170,1,58938.3,0,5,131,50,0,5,135,-336.053,950.036,56723.6,2052.11,909.913,288.526,-4.12174,-5.81962,-12.7797,21322.4,-595.991,690.098,56223,1792.17,649.975,2482.27,53.9836,0.956837,0.0422447,0.000918725,0.0431635,-6.47346,-6.99548,-15.1314,0.281863,0.345887,0.459936,-22.9667 
2,150,2,60259.1,0,5,131,50,0,5,135,-832.513,2927.66,52941.7,3663.36,259.405,318.512,-14.7999,-15.3376,-12.533,21322.4,-1119.47,2640.71,52389.1,3376.4,-27.5484,6017.11,-1147.02,0.914946,0.105086,-0.020032,0.0850536,-17.3961,-16.6356,-15.1292,0.513357,0.374041,0.669479,-33.8869 
3,145,3,64292.1,0,5,131,50,0,5,135,-772.223,3352.8,55631.2,4191.2,309.261,359.304,-14.9604,-15.26,-11.9467,21322.4,-1095.93,3029.1,55007.8,3867.5,-14.4419,6896.6,-1110.37,0.904822,0.113442,-0.0182644,0.0951777,-17.889,-16.7243,-14.8753,0.524557,0.379354,0.674381,-34.1031 
4,195,4,54356.4,0,5,131,50,0,5,135,2230.81,3175.2,41159.4,4290.58,2792.7,254.571,-12.113,-7.64021,-8.29589,21322.4,2001.46,2945.86,40717.7,4061.23,2563.35,7007.08,4564.81,0.778696,0.134005,0.0872987,0.221304,-14.188,-8.67769,-10.3709,0.556561,0.483012,0.60651,-25.4922 
5,175,5,53354.8,0,5,131,50,0,5,135,-561.822,89.8204,53042.3,1241.3,548.454,356.166,-12.0391,-7.96512,-18.4588,21322.4,-882.698,-231.056,52424.4,920.429,227.578,689.373,-655.12,0.999347,0.0131413,-0.0124883,0.000652955,-14.9421,-9.41663,-21.3618,0.390883,0.475542,0.448132,-38.2265 
6,210,6,60242.4,0,5,131,50,0,5,135,-707.61,2796.59,53013.6,3656.68,375.732,386.807,-8.85402,-5.65658,-19.0383,21322.4,-1056.09,2448.11,52342.5,3308.2,27.2509,5756.31,-1028.84,0.917164,0.100864,-0.0180277,0.0828364,-12.0068,-7.23297,-22.1911,0.331725,0.486805,0.375163,-36.1951 
7,190,7,59092.3,0,5,131,50,0,5,135,60.6878,3436.01,49234.7,4181.38,878.94,341.23,-14.9481,-10.4543,-20.21,21322.4,-246.732,3128.59,48642.6,3873.96,571.52,7002.55,324.788,0.869084,0.125113,0.0058029,0.130916,-17.7294,-11.845,-22.9913,0.414336,0.461005,0.486928,-42.7899 
8,155,8,51088.4,0,5,131,50,0,5,135,-705.46,1528.39,47947.4,2427.15,294.501,374.966,-3.61325,-12.2874,-17.6297,21322.4,-1043.27,1190.58,47296.8,2089.34,-43.3123,3279.92,-1086.59,0.955681,0.0662742,-0.0219556,0.0443186,-6.66952,-13.8155,-20.686,0.228273,0.216215,0.551626,-29.2173 
9,140,9,64383.4,0,5,131,50,0,5,135,-728.605,3403.7,55454.6,4261.52,366.937,360.313,-5.12996,-5.62237,-21.334,21322.4,-1053.22,3079.08,54829.4,3936.91,42.3243,7015.99,-1010.89,0.901288,0.115329,-0.0166171,0.0987121,-8.06679,-7.09079,-24.2709,0.233671,0.39397,0.349879,-34.522 
10,165,10,54125.3,0,5,131,50,0,5,135,-620.548,1449.66,51601.6,2230.19,535.074,417.454,-7.96218,-13.0946,-20.9117,21322.4,-996.639,1073.57,50877.3,1854.1,158.983,2927.67,-837.657,0.960541,0.0552731,-0.0158146,0.0394586,-11.3648,-14.7959,-24.3143,0.30012,0.305032,0.528517,-37.8674 
11,215,11,56535.4,0,5,131,50,0,5,135,-810.318,2155.21,51770.2,3077.96,357.085,424.043,-12.6376,-3.09968,-23.0087,21322.4,-1192.35,1773.18,51034.5,2695.94,-24.9428,4469.12,-1217.29,0.940098,0.082325,-0.0224235,0.0599015,-16.0939,-4.82782,-26.465,0.358114,0.655754,0.251521,-44.9408 
12,180,12,55947.4,0,5,131,50,0,5,135,-698.36,1095.9,52816.5,2130.58,310.408,400.726,-5.76282,-7.63489,-13.745,21322.4,-1059.38,734.883,52121.2,1769.56,-50.613,2504.45,-1109.99,0.973943,0.0467984,-0.0207415,0.0260569,-9.02905,-9.26801,-17.0112,0.327481,0.357614,0.500902,-27.5713 
13,200,13,44038.9,0,5,131,50,0,5,135,5047.68,4115.29,26184.1,5380.91,4774.32,281.385,-13.9053,-7.373,-24.7064,21322.4,4794.17,3861.79,25695.8,5127.4,4520.82,8989.19,9314.99,0.583996,0.2043,0.211704,0.416004,-16.1988,-8.51975,-26.9999,0.355014,0.520722,0.367597,-45.6288 
14,205,14,36361.6,0,5,131,50,0,5,135,4804.98,3577.96,20889.8,4590.01,4506.82,270.504,-17.7787,-12.3151,-30.0342,21322.4,4561.28,3334.26,20420.4,4346.31,4263.12,7680.57,8824.4,0.553018,0.208003,0.238979,0.446982,-19.9836,-13.4175,-32.2391,0.362519,0.459771,0.433961,-55.1241 
15,185,15,54919.7,0,5,131,50,0,5,135,-595.048,2031.17,50651.9,2971.71,400.068,431.879,-18.9011,-7.14372,-16.5577,21322.4,-984.135,1642.09,49902.6,2582.62,10.9811,4224.71,-973.153,0.938828,0.0794804,-0.0183082,0.0611722,-22.4213,-8.90379,-20.0778,0.506054,0.589988,0.449614,-44.3061 
16,160,16,57274.4,0,5,131,50,0,5,135,-587.899,1942.28,52675,2844.44,533.428,396.323,-11.58,-14.5652,-25.2939,21322.4,-944.953,1585.22,51987.3,2487.38,176.374,4072.61,-768.579,0.940243,0.0736572,-0.0139005,0.0597567,-14.8103,-16.1804,-28.5242,0.322653,0.343419,0.510988,-45.9017 
