cyc,FM freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,85,0,32046.2,0,5,131,50,0,5,135,529.262,1368.55,13610,1554.36,420.406,1368.59,19.6801,10.2994,18.2096,21322.4,52.1138,891.405,12683.8,1077.21,-56.7419,1968.61,-4.62806,0.865919,0.134397,-0.000315957,0.134081,10.3243,5.62149,8.85379,0.516862,0.512069,0.539085,19.9749 
1,86.6667,1,33287.6,0,5,131,50,0,5,135,672.27,1335.1,12870.2,1443.87,563.413,1740.77,21.7885,12.591,21.7542,21322.4,65.3613,728.189,11692.1,836.965,-43.4958,1565.15,21.8655,0.880487,0.117866,0.00164661,0.119513,9.88833,6.64087,9.85408,0.479335,0.459712,0.553857,20.6293 
2,88.3333,2,33748.1,0,5,131,50,0,5,135,536.536,1407.58,14749.7,1582.49,466.917,1312.84,18.8119,10.7018,18.734,21322.4,78.8226,949.869,13861.2,1124.77,9.20407,2074.64,88.0267,0.865034,0.129472,0.00549348,0.134966,9.83708,6.21443,9.75922,0.480452,0.474938,0.539808,20.4746 
3,90,3,32799.8,0,5,131,50,0,5,135,504.585,1255.44,14612.9,1525.18,374.977,1306.6,21.8625,6.95764,28.3831,21322.4,49.0482,799.902,13728.7,1069.64,-80.5599,1869.54,-31.5117,0.881925,0.120099,-0.0020243,0.118075,12.9304,2.4916,19.451,0.378835,0.747824,0.190917,34.132 
4,91.6667,4,34835.7,0,5,131,50,0,5,135,556.487,1584.84,14480.3,1908.09,493.126,1468.59,19.6816,6.2746,17.8157,21322.4,44.4723,1072.82,13486.4,1396.08,-18.8879,2468.9,25.5844,0.843909,0.15449,0.00160094,0.156091,9.64215,1.25485,7.77622,0.532179,0.814498,0.229146,18.1182 
5,93.3333,5,34294.4,0,5,131,50,0,5,135,566.212,1557.58,14386.2,1883.9,387.649,1479.51,20.7293,6.29843,23.8822,21322.4,50.3902,1041.76,13384.9,1368.08,-128.172,2409.84,-77.7823,0.851621,0.153328,-0.00494895,0.148379,10.6151,1.24135,13.7681,0.414292,0.830117,0.142432,25.6223 
6,95,6,33860.9,0,5,131,50,0,5,135,517.236,1715.8,14127.2,2106.69,376.584,1351.04,19.4284,11.8867,18.654,21322.4,46.205,1244.77,13212.9,1635.66,-94.4464,2880.43,-48.2414,0.823486,0.179521,-0.00300662,0.176514,10.1925,7.26878,9.41815,0.498208,0.444837,0.587068,20.4583 
7,96.6667,7,32563.8,0,5,131,50,0,5,135,552.113,1831.45,12432.2,2110.31,434.768,1592.82,18.8627,12.0528,21.4882,21322.4,-3.21356,1276.12,11354.2,1554.99,-120.559,2831.1,-123.772,0.807465,0.201337,-0.00880222,0.192535,7.97397,6.60839,10.5994,0.408349,0.408113,0.534558,19.5273 
8,98.3333,8,29551.2,0,5,131,50,0,5,135,397.266,2058.51,12218.2,2386.54,268.657,891.22,20.9906,10.8806,18.5878,21322.4,86.5482,1747.79,11615.1,2075.82,-42.0614,3823.61,44.4868,0.750174,0.246952,0.00287323,0.249826,14.8981,7.8343,12.4953,0.52241,0.520764,0.535955,28.5179 
9,100,9,33907.8,0,5,131,50,0,5,135,522.443,2546.96,12169.2,2999.67,367.175,1386.4,22.4054,10.3021,23.1956,21322.4,39.0839,2063.6,11230.9,2516.31,-116.184,4579.91,-77.1,0.713811,0.291089,-0.00490031,0.286189,12.9278,5.56333,13.718,0.463688,0.570421,0.427611,27.8804 
10,101.667,10,28130.4,0,5,131,50,0,5,135,262.591,2311.34,11807.9,2756.03,126.796,673.324,18.5164,11.1513,21.559,21322.4,27.8413,2076.59,11352.2,2521.28,-107.954,4597.87,-80.1129,0.715326,0.289722,-0.0050481,0.284674,13.9135,8.8498,16.9561,0.429487,0.473238,0.49017,32.3956 
11,103.333,11,30905,0,5,131,50,0,5,135,437.236,1629.13,12937.9,1881.86,334.877,1168.98,18.1732,7.58379,15.3661,21322.4,29.679,1221.57,12146.7,1474.3,-72.6798,2695.88,-43.0008,0.820747,0.182159,-0.00290554,0.179253,10.1819,3.58814,7.37474,0.558819,0.618541,0.472648,18.2203 
12,105,12,33917.8,0,5,131,50,0,5,135,566.143,1770.48,13695.7,2001.78,397.639,1505.84,23.49,7.84956,25.1994,21322.4,41.1397,1245.48,12676.6,1476.77,-127.364,2722.25,-86.2246,0.827853,0.177778,-0.00563095,0.172147,13.1959,2.70247,14.9052,0.44819,0.736163,0.250371,29.4426 
13,106.667,13,30522.1,0,5,131,50,0,5,135,455.532,1300.68,13640.9,1530.18,294.041,1181.19,18.9642,10.3092,20.4481,21322.4,43.7158,888.866,12841.5,1118.36,-117.774,2007.23,-74.0586,0.869156,0.135856,-0.00501255,0.130844,10.8894,6.27179,12.3732,0.446721,0.498027,0.482865,24.3762 
14,108.333,14,26884.8,0,5,131,50,0,5,135,309.686,1124.77,12809.1,1390.42,158.397,763.393,18.4745,9.97,18.6916,21322.4,43.5337,858.616,12292.4,1124.26,-107.755,1982.88,-64.2212,0.864989,0.13953,-0.00451909,0.135011,13.2558,7.36067,13.473,0.474416,0.507167,0.501594,27.9413 
15,110,15,28398.3,0,5,131,50,0,5,135,467.906,1217.54,11715.1,1286.82,306.559,1272.33,18.745,10.2426,19.456,21322.4,24.3164,773.948,10854,843.231,-137.03,1617.18,-112.714,0.878265,0.130856,-0.00912034,0.121735,10.0472,5.8937,10.7582,0.461439,0.493449,0.502281,21.7737 
