cyc,fm,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,93,0,29333.4,0,5,131,50,0,5,135,233.992,1712.59,16326.7,1699.86,141.511,804.967,15.1077,5.37448,12.8324,21322.4,-63.1629,1415.44,15765.4,1402.7,-155.644,2818.14,-218.807,0.858461,0.153454,-0.0119145,0.141539,9.60483,2.62304,7.32958,0.545913,0.676628,0.397313,17.5941 
1,94,1,31845.4,0,5,131,50,0,5,135,437.617,1709.1,15620.9,1701.77,400.915,1404,12.753,9.99915,11.1555,21322.4,-80.6737,1190.81,14641.9,1183.48,-117.375,2374.28,-198.049,0.870602,0.141174,-0.0117759,0.129398,3.15508,5.20017,1.55757,0.650152,0.257445,0.860142,4.85283 
2,95,2,30406.3,0,5,131,50,0,5,135,328.873,1830.87,16111.1,1883.83,262.375,972.003,12.8274,6.28243,11.4577,21322.4,-29.9441,1472.05,15433.3,1525.02,-96.4416,2997.07,-126.386,0.843166,0.163738,-0.00690481,0.156834,6.1827,2.96006,4.81293,0.540976,0.544118,0.531163,11.4288 
3,96,3,28211.8,0,5,131,50,0,5,135,252.745,1747.56,14888.9,1653.19,218.819,942.492,12.7812,6.09937,9.85991,21322.4,-95.1778,1399.63,14231.7,1305.27,-129.104,2704.9,-224.281,0.851569,0.161851,-0.0134201,0.148431,6.33823,2.87787,3.4169,0.629877,0.557232,0.608074,10.0627 
4,97,4,26401.1,0,5,131,50,0,5,135,184.922,1879.81,15428.8,1706.5,66.3207,565.997,10.1139,9.99158,16.9244,21322.4,-24.0167,1670.87,15034.2,1497.56,-142.618,3168.44,-166.635,0.833566,0.175673,-0.00923903,0.166434,6.24467,8.05696,13.0552,0.304993,0.306948,0.532021,20.4748 
5,98,5,27810.3,0,5,131,50,0,5,135,248.219,2129.19,14711.6,2085.79,155.152,933.108,10.5153,8.02441,13.1634,21322.4,-96.2399,1784.73,14061,1741.33,-189.306,3526.07,-285.546,0.812703,0.203801,-0.0165041,0.187297,4.13648,4.83498,6.78456,0.358707,0.328352,0.567618,11.5316 
6,99,6,27772.9,0,5,131,50,0,5,135,254.73,1918.9,15070.2,1847.84,162.052,864.467,12.6616,8.71723,14.234,21322.4,-64.3892,1599.78,14467.4,1528.72,-157.067,3128.5,-221.456,0.832683,0.180063,-0.0127461,0.167317,6.75202,5.76242,8.32434,0.426653,0.40104,0.560473,15.8256 
7,100,7,31408.2,0,5,131,50,0,5,135,377.855,2254.26,14664.9,2390.98,352.086,1449.41,12.5236,8.38772,20.829,21322.4,-157.197,1719.21,13654.3,1855.93,-182.966,3575.14,-340.163,0.808459,0.211681,-0.0201408,0.191541,2.61527,3.43354,10.9206,0.180131,0.303257,0.366758,14.5187 
8,101,8,31569,0,5,131,50,0,5,135,381.696,2464.14,15206.8,2541.34,303.126,1301.17,13.9955,8.24221,11.1744,21322.4,-98.6334,1983.81,14299.5,2061.01,-177.203,4044.83,-275.837,0.791406,0.22386,-0.0152661,0.208594,5.10046,3.79472,2.27938,0.672442,0.434407,0.754103,7.58498 
9,105,9,27794.2,0,5,131,50,0,5,135,141.384,1442.65,17181,1299.72,78.7268,528.627,12.5035,2.89954,14.8103,21322.4,-53.7592,1247.5,16812.4,1104.58,-116.417,2352.08,-170.176,0.885128,0.123831,-0.00895932,0.114872,8.88975,1.09266,11.1965,0.421436,0.82298,0.152377,21.094 
10,85,10,30281.6,0,5,131,50,0,5,135,275.268,1441.35,17020.4,1476.25,206.698,911.675,13.5098,7.12544,13.5439,21322.4,-61.2783,1104.8,16384.7,1139.71,-129.848,2244.51,-191.127,0.888634,0.121732,-0.0103659,0.111366,7.2775,4.00927,7.31153,0.477305,0.50914,0.502516,15.2471 
11,102,11,27384.3,0,5,131,50,0,5,135,304.686,2455.34,13260.5,2373.58,235.583,902.941,10.2303,7.48503,8.00076,21322.4,-28.6366,2122.02,12630.9,2040.26,-97.7392,4162.28,-126.376,0.757848,0.249735,-0.00758249,0.242152,4.05769,4.39871,1.82812,0.670654,0.345176,0.815918,6.05034 
12,103,12,31519.8,0,5,131,50,0,5,135,376.956,1783.45,16240,1762.84,315.288,1132.8,12.1079,5.83784,12.6451,21322.4,-41.2197,1365.28,15450.1,1344.67,-102.887,2709.95,-144.107,0.857579,0.15042,-0.00799889,0.142421,4.36388,1.96585,4.90111,0.449602,0.559176,0.424916,9.70608 
13,98,13,30302.7,0,5,131,50,0,5,135,332.505,2161.78,15441.2,2120.82,240.056,1137.85,13.1148,4.59427,11.1755,21322.4,-87.5352,1741.74,14647.8,1700.78,-179.984,3442.52,-267.519,0.821857,0.193153,-0.01501,0.178143,5.33632,0.705004,3.39699,0.590364,0.812216,0.276572,9.03903 
14,99,14,30168.9,0,5,131,50,0,5,135,383.11,2326.08,14693.8,2435.91,279.937,1085.81,12.1785,9.25795,15.065,21322.4,-17.7173,1925.25,13936.6,2035.08,-120.89,3960.33,-138.608,0.784793,0.223012,-0.0078052,0.215207,4.7558,5.54658,7.64232,0.363429,0.328841,0.572092,13.0859 
15,100,15,27775.6,0,5,131,50,0,5,135,249.484,2250.6,14230.9,2358.63,148.567,869.259,12.1436,7.45032,23.8221,21322.4,-71.4043,1929.71,13624.8,2037.74,-172.322,3967.44,-243.726,0.785358,0.228691,-0.0140489,0.214642,6.20121,4.47912,17.8797,0.241385,0.441692,0.315759,25.6901 
16,101,16,31081.1,0,5,131,50,0,5,135,431.607,2401.73,13963.6,2570.18,391.972,1431.58,9.77838,10.0876,7.27897,21322.4,-96.8636,1873.26,12965.4,2041.71,-136.498,3914.97,-233.362,0.778842,0.235176,-0.0140183,0.221158,-0.00810836,5.19431,-2.50752,0.00295785,-0.000892801,1.35513,-2.7413 
