cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,95,0,38942.4,0,5,131,50,0,5,135,567.938,3401.29,17321.4,3813.88,599.963,940.014,17.3562,10.4609,11.4277,21322.4,240.209,3073.56,16704.5,3486.15,272.234,6559.71,512.442,0.702559,0.275888,0.0215523,0.297441,10.9301,7.24787,5.0016,0.667208,0.462868,0.727477,16.3819 
1,96,1,42013.4,0,5,131,50,0,5,135,668.934,3593.72,17539.5,4053.59,731.41,1011.45,17.0786,9.7629,7.67543,21322.4,316.3,3241.09,16875.7,3700.96,378.776,6942.05,695.076,0.688444,0.2832,0.0283556,0.311556,10.1642,6.30571,0.761039,0.924545,0.479462,0.938511,10.9938 
2,97,2,38485.2,0,5,131,50,0,5,135,590.002,3933.16,15300.1,4219.23,651.815,900.242,20.7369,9.29685,14.5357,21322.4,276.138,3619.3,14709.3,3905.37,337.952,7524.67,614.09,0.643787,0.329336,0.0268772,0.356213,14.5828,6.21976,8.38152,0.614823,0.572606,0.577522,23.7186 
3,98,3,40340.3,0,5,131,50,0,5,135,626.41,5328.4,13913.4,5604.44,950.928,953.949,16.0577,10.3627,16.3357,21322.4,293.822,4995.81,13287.4,5271.85,618.339,10267.7,912.161,0.543068,0.419651,0.037281,0.456932,9.53632,7.10207,9.81439,0.471302,0.434161,0.57137,20.234 
4,99,4,40817.1,0,5,131,50,0,5,135,631.307,5317.32,13919.2,5712.73,1019.28,913.373,21.6169,7.40394,20.9079,21322.4,312.865,4998.88,13319.8,5394.29,700.833,10393.2,1013.7,0.538682,0.420322,0.0409962,0.461318,15.373,4.28196,14.6639,0.490262,0.672295,0.349766,31.3566 
5,100,5,39223.6,0,5,131,50,0,5,135,623.781,5366.99,13248.2,5641.71,952.271,800.963,22.562,9.40584,14.4205,21322.4,344.531,5087.74,12722.5,5362.46,673.021,10450.2,1017.55,0.525936,0.432,0.0420645,0.474064,17.0865,6.66808,8.945,0.636687,0.594196,0.578629,26.8365 
6,101,6,41293.8,0,5,131,50,0,5,135,557.502,2603.9,17966.8,3258.72,611.884,1145.59,20.4985,11.8943,17.2144,21322.4,158.1,2204.49,17215,2859.31,212.482,5063.81,370.582,0.760065,0.223574,0.0163617,0.239935,12.667,7.9786,9.38302,0.553278,0.475675,0.610347,22.8945 
7,102,7,37600,0,5,131,50,0,5,135,466.512,2512.23,17195.9,2848.12,459.509,910.271,21.7643,12.1772,22.7691,21322.4,149.152,2194.87,16598.5,2530.76,142.148,4725.63,291.301,0.767901,0.218623,0.0134765,0.232099,15.5415,9.06578,16.5463,0.462862,0.494849,0.502313,33.5771 
8,103,8,34926.9,0,5,131,50,0,5,135,386.059,2211.47,16138.7,2698.09,391.392,795.674,19.1982,11.3494,27.1887,21322.4,108.653,1934.06,15616.5,2420.68,113.985,4354.74,222.638,0.773329,0.215646,0.011025,0.226671,13.7589,8.62977,21.7494,0.36724,0.47673,0.422271,37.4657 
9,104,9,35633,0,5,131,50,0,5,135,415.007,2391.48,17006.2,2802.48,377.547,736.279,18.3722,6.0043,16.4794,21322.4,158.308,2134.78,16523,2545.78,120.849,4680.56,279.157,0.76913,0.217876,0.0129945,0.23087,13.3388,3.48764,11.4461,0.516706,0.686076,0.359504,25.8151 
10,105,10,37018.2,0,5,131,50,0,5,135,436.526,2516.99,17718.4,2987.17,377.943,805.811,15.3383,11.1867,17.3311,21322.4,155.586,2236.05,17189.6,2706.23,97.0022,4942.28,252.588,0.767925,0.220791,0.0112841,0.232075,9.82964,8.43237,11.8225,0.432715,0.399802,0.567825,22.7162 
