cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,136,0,77698.9,0,5,131,50,0,5,135,278.439,4027.78,59433.7,4318.22,9.6062,113.143,7.9016,2.51734,-5.3285,21322.4,176.506,3925.85,59237.4,4216.28,-92.3265,8142.13,84.18,0.878063,0.120689,0.00124778,0.121937,6.97939,2.05624,-6.25071,42.0145,0.659815,-1.53794,0.166119 
1,188,1,61494.2,0,5,131,50,0,5,135,8104.61,5900.93,27298.4,6715.99,6507.41,-100.892,-1.26963,-6.40911,-2.00989,21322.4,8195.5,5991.83,27473.5,6806.88,6598.31,12798.7,14793.8,0.498919,0.232425,0.268656,0.501081,-0.447286,-5.99794,-1.18754,0.256809,0.0408716,0.90295,-1.74171 
2,140,2,74859.9,0,5,131,50,0,5,135,293.944,3659.26,57614.4,4078.43,63.3822,125.055,-3.22018,-0.844231,0.310775,21322.4,181.28,3546.6,57397.4,3965.77,-49.2817,7512.37,131.998,0.88247,0.115501,0.00202944,0.11753,-4.23948,-1.35388,-0.70852,0.845905,0.641493,0.778761,-5.01176 
3,152,3,63936.4,0,5,131,50,0,5,135,746.813,2107.57,52084.1,2356.7,658.13,109.297,-8.72203,-7.20766,7.14731,21322.4,648.345,2009.11,51894.5,2258.24,559.663,4267.34,1208.01,0.90456,0.074383,0.0210565,0.0954395,-9.61288,-7.65309,6.25645,3.44135,0.417846,1.79788,-2.79335 
4,120,4,66509.6,0,5,131,50,0,5,135,267.075,2782.66,51859.8,3305.42,16.9207,108.02,3.90057,0.207323,8.83947,21322.4,169.757,2685.34,51672.4,3208.1,-80.3965,5893.44,89.3609,0.896231,0.102219,0.00154992,0.103769,3.02012,-0.232902,7.95902,0.25823,1.15601,-0.0569762,11.6955 
5,132,5,72911.3,0,5,131,50,0,5,135,222.75,3606,56004.1,4090.97,96.5127,162.284,5.89426,-4.59852,8.24126,21322.4,76.5454,3459.79,55722.5,3944.77,-49.6915,7404.56,26.8539,0.882328,0.117246,0.000425214,0.117672,4.57152,-5.25989,6.91852,0.377415,-0.986669,3.49698,12.1127 
6,160,6,64159.1,0,5,131,50,0,5,135,379.216,1640.67,53735.7,2134.16,426.792,18.081,0.372651,-11.079,-1.76246,21322.4,362.927,1624.38,53704.3,2117.87,410.503,3742.25,773.43,0.922438,0.0642777,0.0132846,0.0775623,0.225277,-11.1527,-1.90984,-0.121349,-0.0116773,0.914946,-1.85644 
7,112,7,73270.2,0,5,131,50,0,5,135,287.022,3624.31,56169.8,4162.14,150.448,172.874,-3.79361,0.572062,-2.94866,21322.4,131.277,3468.57,55869.8,4006.39,-5.29742,7474.96,125.98,0.880245,0.11777,0.00198485,0.119755,-5.20267,-0.132468,-4.35772,0.522746,0.957343,0.0530279,-9.95258 
8,196,8,76722.4,0,5,131,50,0,5,135,331.139,4141.62,58430.4,4268.64,117.017,140.099,5.36482,0.674143,2.62045,21322.4,204.921,4015.4,58187.3,4142.42,-9.20078,8157.83,195.721,0.87446,0.122599,0.00294136,0.12554,4.2229,0.103185,1.47854,0.723781,0.958993,0.113914,5.8345 
9,148,9,68286.2,0,5,131,50,0,5,135,567.847,2840.22,53931.1,3187.99,420.441,64.5827,6.44382,-1.54593,-5.34096,21322.4,509.663,2782.04,53819,3129.8,362.258,5911.84,871.921,0.888062,0.0975507,0.0143875,0.111938,5.91742,-1.80913,-5.86736,-12.3796,2.15066,0.362242,-0.477996 
10,100,10,70846.7,0,5,131,50,0,5,135,397.639,3380.22,54308.5,3677.67,127.971,142.72,-5.43157,4.39864,-7.63792,21322.4,269.06,3251.64,54060.9,3549.09,-0.607548,6800.74,268.453,0.884358,0.11125,0.0043915,0.115642,-6.59485,3.817,-8.8012,0.407387,-77.6878,-3.97273,-16.1882 
11,108,11,70770.3,0,5,131,50,0,5,135,351.712,3541.47,54611.4,3798.13,110.379,140.19,0.490965,1.86463,2.20963,21322.4,225.412,3415.17,54368.1,3671.83,-15.9211,7087,209.491,0.881675,0.114928,0.00339726,0.118325,-0.651698,1.29329,1.06696,-1.27461,-0.404388,0.690676,0.511294 
12,164,12,64017.5,0,5,131,50,0,5,135,303.467,1624.58,53715,2164.18,373.341,23.7472,0.77203,-1.25724,9.28549,21322.4,282.072,1603.19,53673.8,2142.78,351.946,3745.97,634.019,0.924553,0.0645258,0.0109212,0.0754471,0.578472,-1.35402,9.09193,0.055152,-0.322978,-0.378047,10.4887 
13,124,13,72134.8,0,5,131,50,0,5,135,149.432,3595.18,55912.2,3747.72,37.205,60.5107,2.93473,-3.11162,2.36098,21322.4,94.917,3540.67,55807.2,3693.2,-17.31,7233.87,77.6069,0.884163,0.114607,0.00122954,0.115837,2.44152,-3.35823,1.86777,0.5453,-0.710701,1.43251,4.4774 
14,184,14,59139.8,0,5,131,50,0,5,135,6093.34,4939.34,30566.7,5846.83,4942.92,-97.1895,-7.34936,-2.96164,-7.35074,21322.4,6180.9,5026.9,30735.3,5934.39,5030.48,10961.3,11211.4,0.58092,0.207177,0.211903,0.41908,-6.55719,-2.56555,-6.55857,0.478417,0.593577,0.418803,-13.706 
15,192,15,80999.8,0,5,131,50,0,5,135,828.89,4388.43,60312.9,4980.23,648.001,62.1565,0.0473227,5.41887,6.32225,21322.4,772.892,4332.44,60205,4924.23,592.003,9256.67,1364.89,0.850034,0.130695,0.0192709,0.149966,-0.459302,5.16556,5.81562,-0.0781162,-0.053529,0.620666,5.87972 
16,176,16,79270,0,5,131,50,0,5,135,359.958,4505.49,59571.6,4795.16,239.202,85.508,5.86614,-2.8118,-4.56948,21322.4,282.922,4428.46,59423.2,4718.13,162.166,9146.59,445.089,0.86102,0.132531,0.00644917,0.13898,5.16918,-3.16028,-5.26644,-9.04912,-14.3071,0.525033,-0.571236 
17,168,17,71208,0,5,131,50,0,5,135,248.612,1943.83,59277.6,2410.78,194.034,-20.781,7.19033,2.07044,-6.70221,21322.4,267.334,1962.55,59313.7,2429.5,212.756,4392.05,480.09,0.924093,0.0684272,0.00747969,0.0759069,7.35971,2.15513,-6.53283,30.8022,0.66118,-1.54904,0.238935 
18,180,18,72145.4,0,5,131,50,0,5,135,2428.04,4688.66,49307.2,5252.58,1890.46,24.935,0.895905,1.03203,-5.1454,21322.4,2405.58,4666.2,49263.9,5230.12,1868,9896.32,4273.58,0.776619,0.15601,0.0673706,0.223381,0.692665,0.930414,-5.34864,-0.134829,0.298448,-0.471542,-5.13735 
