cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,190,0,54848,0,5,131,50,0,5,135,229.95,3339.2,41090.9,3177.54,158.161,134.48,-3.6727,-4.7532,2.94721,21322.4,108.794,3218.04,40857.6,3056.38,37.0059,6274.42,145.8,0.864202,0.132714,0.0030839,0.133125,-4.76881,-5.30126,1.85109,1.73341,0.339514,1.23389,-2.75112 
1,195,1,52825.3,0,5,131,50,0,5,135,265.217,2972.51,40201.8,2810.97,77.2477,169.516,3.69225,-4.27904,0.00588706,21322.4,112.497,2819.79,39907.7,2658.25,-75.472,5478.05,37.0252,0.878583,0.120601,0.000815125,0.1207,2.31056,-4.96988,-1.3758,2.84924,-0.361776,0.869355,0.810938 
2,210,2,51585.8,0,5,131,50,0,5,135,323.118,1630.26,41920.8,1727.94,90.4262,146.716,0.998168,0.566171,4.65309,21322.4,190.939,1498.08,41666.3,1595.76,-41.7524,3093.84,149.187,0.927787,0.0688908,0.00332196,0.0691204,-0.19768,-0.0317528,3.45724,-0.0553614,0.780581,-0.0172098,3.57071 
3,170,3,53600.4,0,5,131,50,0,5,135,284.765,2972.33,40656.6,2935.01,133.576,152.576,1.12658,-3.66938,2.38032,21322.4,147.307,2834.87,40391.9,2797.55,-3.88236,5632.42,143.424,0.874894,0.121999,0.00310659,0.122379,-0.117037,-4.29119,1.13671,-0.104314,0.0153459,1.16795,1.12197 
4,185,4,51880.7,0,5,131,50,0,5,135,265.47,3047.38,39237.6,2800.15,117.47,125.58,0.139052,0.964789,-3.41964,21322.4,152.333,2934.24,39019.7,2687.01,4.33228,5621.25,156.665,0.871022,0.125481,0.00349718,0.125921,-0.884526,0.453,-4.44322,0.154431,9.63779,-0.231236,-5.72763 
5,220,5,52424.9,0,5,131,50,0,5,135,392.082,2806.37,40249.2,2638.06,214.114,54.0658,-2.16262,-6.15283,-1.10886,21322.4,343.373,2757.67,40155.4,2589.35,165.405,5347.01,508.778,0.872731,0.116211,0.0110577,0.117511,-2.6033,-6.37317,-1.54954,0.606505,0.189243,0.883402,-4.29229 
6,160,6,52080.2,0,5,131,50,0,5,135,237.947,3148.84,39540.2,3092.95,77.0036,145.07,7.01742,1.35098,-0.505533,21322.4,107.251,3018.15,39288.5,2962.26,-53.6923,5980.41,53.5586,0.866866,0.131952,0.00118172,0.132108,5.83499,0.759768,-1.68797,1.46053,0.814421,-4.853,3.9951 
7,205,7,50459.7,0,5,131,50,0,5,135,232.295,2043,39875.6,2138.94,171.315,56.4808,6.77228,7.05714,3.68611,21322.4,181.41,1992.11,39777.6,2088.06,120.43,4080.17,301.84,0.900769,0.0923961,0.00683522,0.093032,6.31192,6.82696,3.22575,0.64224,0.345686,0.795861,9.82798 
8,155,8,52795.8,0,5,131,50,0,5,135,279.786,3220.76,39375,3142.21,104.529,87.5031,-9.86003,-1.798,-4.54623,21322.4,200.953,3141.93,39223.2,3063.38,25.6957,6205.31,226.648,0.859119,0.135917,0.00496436,0.136595,-10.5733,-2.15461,-5.25944,0.648425,0.737129,0.430085,-16.306 
9,225,9,52177.3,0,5,131,50,0,5,135,509.536,2948.99,38835.4,2925.36,383.304,38.7549,5.62158,-1.67705,2.99771,21322.4,474.621,2914.08,38768.2,2890.44,348.389,5804.52,823.01,0.854005,0.127865,0.0181297,0.130226,5.30569,-1.83499,2.68183,0.644765,2.5332,4.83985,8.22888 
