cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,100,0,68007.8,0,5,131,50,0,5,135,594.772,5068.53,49020.8,4734.97,379.446,44.9061,8.6305,-0.360697,-4.21784,21322.4,554.315,5028.08,48942.9,4694.51,338.989,9722.59,893.304,0.821758,0.163244,0.0149987,0.165729,8.26448,-0.543707,-4.58386,2.52885,1.13011,0.179318,3.26807 
1,102,1,64410.6,0,5,131,50,0,5,135,837.452,4148.74,46732.1,3829.54,594.32,23.7451,-5.47686,-5.96153,-7.49098,21322.4,816.06,4127.35,46690.9,3808.14,572.927,7935.49,1388.99,0.833537,0.141666,0.0247966,0.145269,-5.67041,-6.0583,-7.68452,0.403687,0.348467,0.592215,-14.0465 
2,104,2,67007.4,0,5,131,50,0,5,135,1076.21,3805.59,49608.7,3690.25,606.335,47.5586,0.952072,0.39787,5.25711,21322.4,1033.37,3762.75,49526.2,3647.4,563.489,7410.15,1596.86,0.846121,0.126597,0.0272812,0.130148,0.564432,0.20405,4.86947,0.09612,0.612501,0.07166,5.87215 
3,106,3,55488.6,0,5,131,50,0,5,135,1291.84,2465.08,41856.5,2580.65,765.15,142.543,-4.18408,-4.42323,-5.04383,21322.4,1163.42,2336.66,41609.2,2452.23,636.731,4788.89,1800.15,0.863293,0.0993583,0.0373489,0.103213,-5.34592,-5.00414,-6.20566,0.441443,0.379058,0.597657,-12.1101 
4,108,4,58136.6,0,5,131,50,0,5,135,1027.65,2700.84,44236.5,2664.27,614.113,56.7954,-1.29857,-1.78681,5.31169,21322.4,976.485,2649.67,44138,2613.1,562.946,5262.77,1539.43,0.866467,0.103313,0.0302204,0.106532,-1.7615,-2.01828,4.84876,-0.499907,0.332768,-3.28757,3.52365 
5,110,5,75241.4,0,5,131,50,0,5,135,526.021,6974.68,51168.2,6103.57,297.65,21.3268,0.443361,2.92087,-3.37521,21322.4,506.807,6955.46,51131.2,6084.36,278.436,13039.8,785.243,0.787164,0.200748,0.0120888,0.203204,0.269531,2.83396,-3.54904,-0.074892,0.0515458,3.12339,-3.59893 
6,112,6,78378.3,0,5,131,50,0,5,135,684.661,9420.85,48630.5,8417.25,434.606,58.6972,1.82984,3.12281,-1.57674,21322.4,631.779,9367.97,48528.6,8364.37,381.724,17732.3,1013.5,0.721353,0.263582,0.0150652,0.267614,1.35141,2.8836,-2.05517,-1.52062,0.211234,1.63106,-0.888725 
7,114,7,78672.7,0,5,131,50,0,5,135,353.555,10617.5,46559.4,9425.33,294.521,68.2814,1.48895,-1.67613,0.0446969,21322.4,292.039,10556,46441,9363.82,233.005,19919.8,525.044,0.694332,0.297818,0.00784985,0.300174,0.932399,-1.9544,-0.51185,2.48984,-0.374788,0.875525,0.374482 
8,116,8,75013.8,0,5,131,50,0,5,135,514.564,12621.2,39949.7,10736.8,407.36,14.1579,11.4632,-5.30608,3.9186,21322.4,501.809,12608.5,39925.1,10724.1,394.605,23332.5,896.414,0.622332,0.363695,0.0139728,0.368849,11.3478,-5.36377,3.8032,0.732433,5.78617,1.62579,15.4933 
9,118,9,67061.6,0,5,131,50,0,5,135,411.065,12318,33037.3,10469.9,318.644,29.3911,10.5484,-7.04568,-3.10561,21322.4,384.586,12291.5,32986.3,10443.4,292.165,22734.9,676.751,0.584885,0.403116,0.0119996,0.408011,10.3089,-7.16546,-3.34517,1.54726,-4.62143,0.79781,6.66266 
10,120,10,72912.3,0,5,131,50,0,5,135,442.077,11651.6,39871.4,10012.8,376.254,63.9146,5.25716,-3.86179,-5.21836,21322.4,384.495,11594,39760.6,9955.19,318.672,21549.2,703.168,0.641166,0.347495,0.0113391,0.351481,4.73621,-4.12227,-5.73932,-3.11664,-1.91149,0.569539,-1.51965 
11,122,11,79421.9,0,5,131,50,0,5,135,384.032,7659.47,53594.5,6864.65,210.65,65.3039,-0.57565,5.7845,-5.44672,21322.4,325.199,7600.64,53481.2,6805.81,151.817,14406.4,477.016,0.782293,0.21073,0.00697752,0.21221,-1.10793,5.51837,-5.979,0.145301,-0.129594,2.42819,-7.62504 
