cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
1,145,1,37905.7,0,5,131,50,0,5,135,541.407,1879.41,18440,1686.03,454.605,1222.95,23.1485,10.7902,20.0295,21322.4,89.9523,1427.96,17587.3,1234.57,3.15095,2662.53,93.1032,0.864541,0.130883,0.00457669,0.135459,14.7882,6.61002,11.6693,0.537603,0.5611,0.510633,27.5077 
2,150,2,39592.1,0,5,131,50,0,5,135,618.386,1808,18671.5,1519.21,491.468,1322.46,18.383,13.1864,18.7715,21322.4,130.198,1319.81,17749.4,1031.02,3.27994,2350.83,133.478,0.877219,0.116184,0.00659681,0.122781,9.34251,8.66615,9.73102,0.468312,0.381198,0.621287,19.9493 
3,155,3,38120.5,0,5,131,50,0,5,135,608.046,1577.34,18287.4,1339.87,475.83,1331.78,22.1612,6.30277,26.2011,21322.4,116.418,1085.71,17358.8,848.24,-15.7979,1933.95,100.62,0.895089,0.0997222,0.00518835,0.104911,13.057,1.75065,17.0969,0.411989,0.809955,0.158691,31.6926 
4,160,4,33303.5,0,5,131,50,0,5,135,489.913,1296.9,17432.2,1135.22,377.983,865.085,20.1891,9.27473,27.5685,21322.4,170.565,977.549,16829,815.87,58.6355,1793.42,229.201,0.892709,0.0951333,0.0121581,0.107291,14.2753,6.3178,21.6547,0.376866,0.56354,0.349568,37.8788 
5,165,5,40522.1,0,5,131,50,0,5,135,820.267,1720.33,18877.8,1452.71,691.925,1479.81,22.6102,8.44219,25.1444,21322.4,273.992,1174.05,17845.9,906.44,145.65,2080.49,419.642,0.877119,0.102255,0.0206252,0.122881,12.494,3.38409,15.0282,0.432697,0.678426,0.293192,28.8747 
6,170,6,37646.5,0,5,131,50,0,5,135,1181.15,1777.36,17219.1,1666.6,1177.37,1015.17,22.1255,9.66644,19.5139,21322.4,806.399,1402.61,16511.2,1291.85,802.615,2694.46,1609.01,0.793248,0.12945,0.0773018,0.206752,15.1856,6.19652,12.5741,0.525611,0.5834,0.475834,28.8914 
7,175,7,34743,0,5,131,50,0,5,135,1442.89,2065.36,13373.4,1970.37,1501.46,1117.08,25.3764,11.3463,30.5412,21322.4,1030.52,1652.99,12594.4,1558,1089.09,3210.98,2119.61,0.702617,0.179134,0.118249,0.297383,17.7398,7.528,22.9047,0.415395,0.573848,0.377117,42.7059 
8,180,8,30923,0,5,131,50,0,5,135,1837.76,2195.98,10472.2,2029.56,1938.79,1143.17,16.6833,15.1305,9.07342,21322.4,1415.76,1773.98,9675.09,1607.56,1516.79,3381.54,2932.55,0.605102,0.211489,0.183409,0.394898,8.86849,11.2231,1.25857,0.866035,0.311079,0.942617,10.2403 
9,185,9,29550.2,0,5,131,50,0,5,135,1864.85,2050.89,7723.19,1885.11,1875.17,1428.8,25.4759,14.9331,19.9319,21322.4,1337.41,1523.45,6726.91,1357.67,1347.73,2881.12,2685.13,0.547207,0.234368,0.218425,0.452793,15.7085,10.0494,10.1644,0.586406,0.471797,0.645548,26.7877 
10,190,10,26395.5,0,5,131,50,0,5,135,1326.88,1885.54,6388.51,1671.33,1274.16,1494.42,22.6251,11.2194,19.548,21322.4,775.211,1333.87,5346.47,1119.66,722.488,2453.54,1497.7,0.575031,0.263886,0.161083,0.424969,12.409,6.11133,9.33194,0.549537,0.537097,0.546766,22.5808 
11,195,11,35402.3,0,5,131,50,0,5,135,650.6,2170.64,15805.3,2095.02,572.702,1054.74,23.6391,10.8126,25.4332,21322.4,261.24,1781.28,15069.9,1705.66,183.342,3486.93,444.583,0.793093,0.18351,0.0233974,0.206907,16.4288,7.20739,18.2228,0.452687,0.565696,0.42149,36.2916 
12,200,12,40272.5,0,5,131,50,0,5,135,626.033,2396.11,18276.4,2118.86,481.368,1255.26,25.8897,11.4758,27.5249,21322.4,162.653,1932.73,17401.1,1655.48,17.9884,3588.21,180.642,0.821971,0.169496,0.00853293,0.178029,17.3086,7.18524,18.9437,0.456002,0.579217,0.411314,37.9573 
13,205,13,39664.4,0,5,131,50,0,5,135,534.485,2251.45,18864.7,2175.84,428.258,1129.29,21.5713,8.92274,26.0827,21322.4,117.604,1834.57,18077.2,1758.96,11.3771,3593.52,128.981,0.829241,0.164842,0.00591663,0.170759,13.8513,5.06273,18.3627,0.408995,0.609891,0.336818,33.8666 
14,210,14,35738.2,0,5,131,50,0,5,135,448.061,1997.48,17748.1,1798.52,323.952,892.326,19.3664,11.4602,18.9395,21322.4,118.658,1668.07,17125.9,1469.11,-5.45214,3137.19,113.205,0.840482,0.153962,0.00555573,0.159518,13.2663,8.41018,12.8394,0.486636,0.474066,0.54682,27.2613 
15,135,15,40255.9,0,5,131,50,0,5,135,625.485,2525.06,18755.7,2162.54,460.174,1188.78,20.6307,14.4928,17.5012,21322.4,186.644,2086.21,17926.8,1723.7,21.3325,3809.92,207.976,0.816908,0.173614,0.00947728,0.183092,12.504,10.4295,9.37455,0.550298,0.406561,0.672066,22.7223 
16,130,16,43356.8,0,5,131,50,0,5,135,809.786,2449.13,18208.7,2289.54,657.163,1835.16,21.8327,12.3811,21.0999,21322.4,132.333,1771.67,16929.1,1612.09,-20.2903,3383.76,112.042,0.828846,0.165669,0.00548558,0.171154,9.28724,6.10841,8.55443,0.499004,0.464898,0.568105,18.6116 
17,140,17,39103.2,0,5,131,50,0,5,135,539.742,2061.29,18760.2,1889.35,425.173,1130.57,29.0037,10.1609,29.285,21322.4,122.39,1643.94,17971.9,1472,7.82132,3115.94,130.211,0.84701,0.146853,0.00613682,0.15299,21.275,6.29654,21.5562,0.475193,0.658792,0.349837,44.7713 
18,187,18,25197.3,0,5,131,50,0,5,135,1654.31,1830.07,6206.38,1718.03,1814.6,1173.01,23.4326,13.2194,18.2521,21322.4,1221.29,1397.05,5388.46,1285.01,1381.58,2682.05,2602.86,0.50485,0.251285,0.243865,0.49515,15.4137,9.21,10.2332,0.580163,0.48884,0.623765,26.5679 
19,187,19,25821.1,0,5,131,50,0,5,135,1644.99,1989.15,6395.32,1804.32,1769.85,1232.49,18.9031,9.85004,20.3736,21322.4,1190.02,1534.17,5535.92,1349.34,1314.87,2883.51,2504.89,0.506752,0.263953,0.229295,0.493248,10.4776,5.6373,11.9482,0.445835,0.515051,0.464991,23.5011 
20,187,20,27119.2,0,5,131,50,0,5,135,1607.49,1849.77,6671.99,1729.11,1741.87,1346.3,25.1954,12.3386,20.3352,21322.4,1110.51,1352.78,5733.24,1232.12,1244.89,2584.91,2355.39,0.537145,0.242179,0.220676,0.462855,15.992,7.73688,11.1317,0.568593,0.541522,0.561466,28.1255 
21,187,21,24128.6,0,5,131,50,0,5,135,1573.81,1779.9,6795.56,1626.87,1584.24,993.996,18.4494,10.9068,18.4179,21322.4,1206.87,1412.96,6102.46,1259.94,1217.3,2672.9,2424.18,0.544885,0.238662,0.216453,0.455115,11.6543,7.50928,11.6228,0.479144,0.470016,0.54341,24.3232 
22,187,22,28996.1,0,5,131,50,0,5,135,2176.91,2103.26,6494.77,1990.71,2285.67,1387.77,22.9487,13.3489,16.4585,21322.4,1664.61,1590.96,5527.1,1478.41,1773.37,3069.38,3437.98,0.459273,0.255049,0.285678,0.540727,13.4617,8.60545,6.97146,0.639189,0.471988,0.69455,21.0606 
