cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,130,0,37885.9,0,5,131,50,0,5,135,360.809,2286.41,20917.5,2327.64,218.703,418.426,20.7691,7.05452,19.3232,21322.4,206.346,2131.94,20625.7,2173.18,64.2402,4305.12,270.586,0.818435,0.170829,0.0107369,0.181565,17.9087,5.6243,16.4628,0.499502,0.64533,0.386252,35.8531 
1,135,1,41232.4,0,5,131,50,0,5,135,527.283,2269.48,20928.5,2309.96,460.397,1012.36,15.1346,8.45865,14.4938,21322.4,153.569,1895.76,20222.6,1936.25,86.6842,3832.01,240.254,0.832382,0.157729,0.00988906,0.167618,8.21398,4.99835,7.57316,0.498762,0.484284,0.548697,16.4687 
2,140,2,37529.4,0,5,131,50,0,5,135,428.669,1967.4,19863.9,1907.1,300.063,706.15,23.3713,10.1315,20.4617,21322.4,167.992,1706.72,19371.5,1646.42,39.3867,3353.14,207.379,0.844736,0.146221,0.0090432,0.155264,18.544,7.71781,15.6344,0.521112,0.578593,0.47626,35.5855 
3,145,3,38688.7,0,5,131,50,0,5,135,532.612,1785.27,20020.8,1923.27,450.213,922.148,19.8332,8.6134,26.6324,21322.4,192.199,1444.86,19377.8,1582.85,109.8,3027.71,301.999,0.853365,0.133336,0.0132995,0.146635,13.5292,5.46143,20.3284,0.379105,0.586017,0.331058,35.6872 
4,150,4,36724.3,0,5,131,50,0,5,135,545.915,1670.02,19710.5,1650.78,413.589,795.02,15.277,7.94371,15.5055,21322.4,252.432,1376.54,19156.1,1357.29,120.105,2733.83,372.538,0.860466,0.1228,0.0167339,0.139534,9.84217,5.22627,10.0706,0.472747,0.518332,0.488749,20.8191 
5,155,5,46621,0,5,131,50,0,5,135,939.124,2040.84,21436.4,2202.18,852.875,1833.19,18.0403,11.182,17.2433,21322.4,262.399,1364.11,20158.1,1525.45,176.15,2889.57,438.549,0.858295,0.123032,0.0186726,0.141705,5.50835,4.91599,4.71139,0.517519,0.390349,0.657781,10.6438 
6,160,6,43216.6,0,5,131,50,0,5,135,1166.96,1980.58,19782.1,2137.63,1113.56,1501.12,15.0634,9.2584,12.6685,21322.4,612.818,1426.44,18735.4,1583.48,559.413,3009.92,1172.23,0.817513,0.131337,0.0511499,0.182487,4.80155,4.12745,2.40662,0.646694,0.399311,0.759574,7.42477 
7,165,7,40332.5,0,5,131,50,0,5,135,1365.9,2187.58,18143.6,2472.39,1438.69,1099.22,13.9603,6.55528,18.3958,21322.4,960.125,1781.8,17377.1,2066.61,1032.91,3848.41,1993.04,0.748415,0.165747,0.0858381,0.251585,6.44587,2.79808,10.8814,0.352107,0.568293,0.321429,18.3066 
8,170,8,39747.7,0,5,131,50,0,5,135,1543.2,2405.18,17567.9,2707.24,1633.86,944.222,20.0742,13.272,18.0445,21322.4,1194.64,2056.62,16909.5,2358.68,1285.3,4415.3,2479.94,0.710342,0.18548,0.104179,0.289658,13.6193,10.0445,11.5896,0.518791,0.436555,0.614869,26.252 
9,175,9,34351.1,0,5,131,50,0,5,135,1931.86,2222.53,15101.4,2566.79,2020.52,481.412,17.3031,8.09885,20.2817,21322.4,1754.14,2044.82,14765.7,2389.08,1842.81,4433.89,3596.95,0.647717,0.194498,0.157785,0.352283,14.0121,6.45335,16.9907,0.430718,0.553718,0.411648,32.5319 
10,180,10,33482.4,0,5,131,50,0,5,135,1938.92,2474.74,13022.1,2695.05,2080.07,723.185,13.8938,11.7797,13.9867,21322.4,1671.96,2207.78,12517.8,2428.08,1813.1,4635.86,3485.06,0.606521,0.224619,0.16886,0.393479,8.94996,9.3078,9.04291,0.475891,0.354614,0.654704,18.8067 
11,185,11,40818.8,0,5,131,50,0,5,135,1128.94,2544,18230.4,2809.44,1198.42,1294.01,16.2042,8.49798,18.0779,21322.4,651.255,2066.31,17328.1,2331.75,720.738,4398.07,1371.99,0.750193,0.190408,0.0593985,0.249807,7.35812,4.07495,9.23182,0.422376,0.507832,0.448462,17.4208 
12,190,12,41243.5,0,5,131,50,0,5,135,436.303,2692.91,21826.3,2846.98,343.753,693.222,10.3643,9.97585,14.3179,21322.4,180.399,2437.01,21342.9,2591.08,87.8488,5028.09,268.247,0.801183,0.188747,0.0100696,0.198817,5.62535,7.60636,9.57894,0.350131,0.297064,0.593952,16.0664 
