cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,140,0,39030.7,0,5,131,50,0,5,135,-197.064,2012.89,31573.1,2206.88,705.795,433.455,-14.4237,-7.93972,-8.42786,21322.4,-587.571,1622.39,30821,1816.37,315.287,3438.76,-272.283,0.906834,0.101177,-0.00801128,0.0931658,-17.9567,-9.70622,-11.9609,0.579359,0.513891,0.599177,-30.994 
1,144,1,30539.4,0,5,131,50,0,5,135,-622.732,1499.96,30759.5,1546.12,259.901,-79.366,-15.2889,-7.00622,-11.0337,21322.4,-551.23,1571.46,30897.2,1617.62,331.403,3189.08,-219.827,0.912325,0.0941662,-0.006491,0.0876752,-14.642,-6.68278,-10.3868,0.563944,0.555951,0.542376,-25.9636 
2,148,2,42285.6,0,5,131,50,0,5,135,60.9242,1957.52,31917,2125.12,1314.58,573.354,-11.5489,-4.91834,-6.15961,21322.4,-455.62,1440.98,30922.2,1608.57,798.039,3049.55,342.419,0.90115,0.0888715,0.00997894,0.0988504,-16.2221,-7.25499,-10.8329,0.578742,0.560963,0.552311,-28.03 
3,152,3,35137.7,0,5,131,50,0,5,135,-113.431,1052.58,29525.4,1342.28,1041.85,511.017,-10.3184,-5.73729,-9.35202,21322.4,-573.815,592.193,28638.7,881.892,581.464,1474.08,7.64918,0.950806,0.0489397,0.000253953,0.0491936,-14.4836,-7.81988,-13.5172,0.495719,0.514179,0.515898,-29.2173 
4,156,4,39998.2,0,5,131,50,0,5,135,50.041,1351.6,32401.1,1578.06,1462.98,388.118,-5.64391,-4.74199,-11.5043,21322.4,-299.621,1001.94,31727.7,1228.4,1113.32,2230.34,813.702,0.912456,0.0641423,0.0234012,0.0875435,-8.80737,-6.32373,-14.6678,0.355203,0.443163,0.442644,-24.7953 
5,160,5,40707.6,0,5,131,50,0,5,135,-209.912,1375.91,34088.3,1558.09,1087.64,360.029,-11.8845,-5.13649,-9.2951,21322.4,-534.268,1051.56,33463.6,1233.73,763.285,2285.29,229.016,0.930115,0.0635191,0.00636547,0.0698845,-14.8191,-6.60375,-12.2296,0.526444,0.561847,0.498671,-28.1493 
6,164,6,33136.5,0,5,131,50,0,5,135,-575.317,1084.38,33427.6,1218.44,530.877,-171.538,-6.94929,-6.00397,-11.8811,21322.4,-420.775,1238.92,33725.2,1372.99,685.418,2611.91,264.643,0.92141,0.0713601,0.00723034,0.0785905,-5.55112,-5.30489,-10.4829,0.326969,0.374199,0.482455,-16.9775 
7,168,7,43800.7,0,5,131,50,0,5,135,-225.404,1700.62,34712.3,1855.56,920.17,555.242,-5.4436,-3.68107,-6.98791,21322.4,-725.631,1200.39,33748.9,1355.33,419.943,2555.72,-305.688,0.937497,0.0709944,-0.00849158,0.0625028,-9.96926,-5.9439,-11.5136,0.442703,0.489383,0.48744,-22.5191 
8,172,8,29183,0,5,131,50,0,5,135,-727.65,1879.68,31835.2,1895.83,-210.034,-344.306,-9.35358,-5.11423,-14.9108,21322.4,-417.459,2189.88,32432.6,2206.02,100.158,4395.89,-317.301,0.888292,0.120399,-0.00869053,0.111708,-6.54721,-3.71105,-12.1044,0.331655,0.502027,0.360926,-19.741 
9,176,9,43283.8,0,5,131,50,0,5,135,-87.9778,2863.72,34322.4,2946.48,713.976,288.819,-11.0841,-4.25828,-11.099,21322.4,-348.18,2603.51,33821.2,2686.28,453.774,5289.79,105.595,0.862421,0.134886,0.0026926,0.137579,-13.4382,-5.43533,-13.4531,0.478193,0.585543,0.426686,-28.1022 
10,180,10,43179.8,0,5,131,50,0,5,135,2130.03,2926.66,26481.8,4405.38,2010.76,492.206,-8.54451,-7.87413,-3.87218,21322.4,1686.59,2483.22,25627.8,3961.94,1567.32,6445.16,3253.91,0.725448,0.182443,0.0921086,0.274552,-12.5564,-9.88007,-7.88405,0.593683,0.420699,0.697746,-21.15 
11,184,11,30572.6,0,5,131,50,0,5,135,4209.03,2249.65,16088.5,4980.5,3230.58,-85.8945,-12.4102,-6.91355,-9.27987,21322.4,4286.42,2327.04,16237.5,5057.89,3307.96,7384.92,7594.38,0.520153,0.236569,0.243278,0.479847,-11.7101,-6.5635,-8.57976,0.555982,0.504829,0.584925,-21.0621 
12,188,12,34826.5,0,5,131,50,0,5,135,4606.45,2402.92,15980.9,4765.05,3825.56,356.68,-11.0766,-8.1145,-8.27341,21322.4,4285.11,2081.58,15362,4443.71,3504.22,6525.29,7789.33,0.517646,0.21988,0.262474,0.482354,-13.9838,-9.56811,-11.1806,0.534331,0.455084,0.611866,-26.1707 
13,192,13,44504.7,0,5,131,50,0,5,135,34.8857,2595.15,33541.5,2710.98,721.027,626.893,-3.09523,-3.13839,-7.16487,21322.4,-529.893,2030.37,32453.8,2146.2,156.248,4176.57,-373.645,0.895111,0.115194,-0.0103055,0.104889,-8.20491,-5.69323,-12.2745,0.380136,0.451612,0.460746,-21.5842 
14,196,14,36889.5,0,5,131,50,0,5,135,-485.82,2077.35,32429.3,2175.45,376.654,249.892,-7.22754,-0.370909,-9.46242,21322.4,-710.952,1852.21,31995.7,1950.32,151.522,3802.53,-559.43,0.907968,0.107908,-0.0158754,0.0920323,-9.26435,-1.38932,-11.4992,0.424999,0.792119,0.182044,-21.7985 
15,200,15,40458.6,0,5,131,50,0,5,135,-365.271,2507.25,33495.5,2389.19,444.035,307.63,-7.48573,-6.83126,-9.78641,21322.4,-642.42,2230.11,32961.7,2112.04,166.886,4342.14,-475.534,0.89501,0.117902,-0.0129122,0.10499,-9.99316,-8.08497,-12.2938,0.427178,0.413935,0.547808,-23.3934 
16,200,16,48816.8,0,5,131,50,0,5,135,-77.3888,3086.71,35856.1,3062.73,806.199,621.016,-7.27346,-5.70586,-7.50077,21322.4,-636.873,2527.23,34778.6,2503.25,246.715,5030.48,-390.157,0.882282,0.127616,-0.00989772,0.117718,-12.3352,-8.23674,-12.5625,0.473914,0.461138,0.547059,-26.0284 
17,182,17,39889.9,0,5,131,50,0,5,135,3837.74,2822.37,19902.5,5421.23,3055.75,376.936,-8.13232,-5.18879,-8.11225,21322.4,3498.15,2482.78,19248.4,5081.64,2716.16,7564.42,6214.32,0.582806,0.229036,0.188158,0.417194,-11.2047,-6.72495,-11.1846,0.478916,0.487725,0.525527,-23.3958 
18,178,18,45960.5,0,5,131,50,0,5,135,936.847,3070.86,30519,3748.08,1376.59,704.973,-13.5486,-3.99062,-9.41835,21322.4,301.725,2435.73,29295.8,3112.96,741.47,5548.69,1043.19,0.816319,0.154613,0.0290683,0.183681,-19.2947,-6.86367,-15.1644,0.538598,0.616324,0.454674,-35.824 
19,186,19,40494.8,0,5,131,50,0,5,135,5481.49,3775.07,15847.4,6796.47,4449.07,291.578,-8.7997,-7.89796,-12.4472,21322.4,5218.8,3512.38,15341.5,6533.78,4186.38,10046.2,9405.18,0.440939,0.288742,0.270319,0.559061,-11.1763,-9.08626,-14.8238,0.408875,0.412756,0.530322,-27.3342 
20,190,20,42618.2,0,5,131,50,0,5,135,3791.18,3159.9,22524.2,4708.63,3511.73,476.285,-7.7218,-0.650902,-6.91448,21322.4,3362.09,2730.8,21697.8,4279.53,3082.63,7010.34,6444.72,0.617241,0.199424,0.183334,0.382759,-11.6039,-2.59195,-10.7966,0.496483,0.718961,0.306633,-23.3722 
21,194,21,42597.6,0,5,131,50,0,5,135,-247.498,2392.47,34032.6,2438.63,635.702,420.955,-7.01983,-8.06672,-10.5166,21322.4,-626.744,2013.22,33302.2,2059.39,256.457,4072.61,-370.287,0.899949,0.110057,-0.0100065,0.100051,-10.4509,-9.78228,-13.9477,0.407381,0.37907,0.563693,-25.654 
22,194,22,46870,0,5,131,50,0,5,135,35.7444,2746.04,34040.3,2670.57,800.27,737.091,-8.34333,-3.18842,-5.55657,21322.4,-628.313,2081.98,32761.4,2006.51,136.213,4088.49,-492.1,0.901083,0.112452,-0.0135349,0.0989166,-14.3512,-6.19236,-11.5644,0.532385,0.569767,0.496573,-26.9564 
23,194,23,41233.9,0,5,131,50,0,5,135,-175.592,2329.67,32766.2,2346.72,645.02,462.232,-8.87656,-7.3957,-14.897,21322.4,-592.024,1913.24,31964.2,1930.29,228.588,3843.53,-363.437,0.901815,0.108439,-0.0102537,0.0981848,-12.6441,-9.27948,-18.6646,0.383289,0.437767,0.478036,-32.9885 
24,194,24,25470.3,0,5,131,50,0,5,135,-841.993,1330.15,30628.6,1294.63,-199.313,-424.602,-16.9938,0.316467,-18.9157,21322.4,-459.462,1712.68,31365.3,1677.16,183.218,3389.84,-276.244,0.909696,0.0983164,-0.00801197,0.0903044,-13.5329,2.04689,-15.4548,0.445474,1.35997,-0.322706,-30.3787 
25,194,25,41488.1,0,5,131,50,0,5,135,-170.922,2263.07,32595.6,2301.76,660.734,477.002,-11.4902,-2.98722,-10.9923,21322.4,-600.662,1833.33,31767.9,1872.02,230.994,3705.35,-369.668,0.904976,0.105555,-0.0105308,0.0950238,-15.3782,-4.93119,-14.8803,0.486687,0.64055,0.379059,-31.5977 
26,194,26,35331.2,0,5,131,50,0,5,135,-404.801,2018.25,31996.1,2064.37,286.687,158.463,-6.84369,-4.18359,-12.7569,21322.4,-547.563,1875.48,31721.2,1921.61,143.925,3797.09,-403.638,0.903361,0.108134,-0.0114949,0.0966393,-8.13529,-4.82939,-14.0485,0.346948,0.49047,0.387725,-23.4482 
27,194,27,41567.8,0,5,131,50,0,5,135,-269.137,2723.42,34285.3,2577.43,516.445,281.714,-8.09237,-7.3989,-7.61343,21322.4,-522.938,2469.62,33796.5,2323.63,262.644,4793.25,-260.294,0.881737,0.125054,-0.00679095,0.118263,-10.3886,-8.547,-9.90962,0.490257,0.409873,0.613722,-21.19 
28,194,28,40496.1,0,5,131,50,0,5,135,-290.761,2417.79,33623,2262.88,482.638,311.874,-12.4839,-8.91979,-11.6253,21322.4,-571.734,2136.82,33081.8,1981.91,201.665,4118.72,-370.069,0.898219,0.111829,-0.0100479,0.101781,-15.0259,-10.1908,-14.1673,0.493166,0.457273,0.569904,-30.4682 
29,194,29,40506.5,0,5,131,50,0,5,135,-477.323,2979.08,34627.9,2858.55,251.831,59.7967,-13.6799,-4.43032,-10.6961,21322.4,-531.195,2925.2,34524.2,2804.68,197.959,5729.88,-333.236,0.864816,0.143531,-0.00834743,0.135184,-14.1672,-4.67401,-11.1835,0.537507,0.633973,0.434991,-26.3573 
30,194,30,43007.2,0,5,131,50,0,5,135,-249.856,2817.75,34197.6,2599.31,589.652,415.427,-7.82701,-4.69089,-10.0121,21322.4,-624.121,2443.48,33476.8,2225.05,215.387,4668.53,-408.734,0.887118,0.123714,-0.0108312,0.112882,-11.2131,-6.38392,-13.3981,0.434328,0.50092,0.46744,-25.817 
