Typical Measured Spectrum of Semrock LPD02-785RU Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
760.0	0.47556
760.2	0.49079
760.4	0.49322
760.6	0.47935
760.8	0.45216
761.0	0.41296
761.2	0.3667
761.4	0.31881
761.6	0.27374
761.8	0.23036
762.0	0.18873
762.2	0.15309
762.4	0.12404
762.6	0.10074
762.8	0.08327
763.0	0.06987
763.2	0.05996
763.4	0.05211
763.6	0.04612
763.8	0.04129
764.0	0.03755
764.2	0.03448
764.4	0.03202
764.6	0.03006
764.8	0.02855
765.0	0.02744
765.2	0.02636
765.4	0.0257
765.6	0.02525
765.8	0.02515
766.0	0.02523
766.2	0.02548
766.4	0.02598
766.6	0.02679
766.8	0.02798
767.0	0.02961
767.2	0.03179
767.4	0.0346
767.6	0.03865
767.8	0.0446
768.0	0.05382
768.2	0.06907
768.4	0.09236
768.6	0.12132
768.8	0.15105
769.0	0.18015
769.2	0.21035
769.4	0.24381
769.6	0.27785
769.8	0.31168
770.0	0.34257
770.2	0.36307
770.4	0.37034
770.6	0.36602
770.8	0.3486
771.0	0.32283
771.2	0.29115
771.4	0.25754
771.6	0.2228
771.8	0.18642
772.0	0.14932
772.2	0.11482
772.4	0.08652
772.6	0.06532
772.8	0.05018
773.0	0.03946
773.2	0.03201
773.4	0.02645
773.6	0.02224
773.8	0.01903
774.0	0.0165
774.2	0.01465
774.4	0.01299
774.6	0.01174
774.8	0.0107
775.0	0.00984
775.2	0.00909
775.4	0.00838
775.6	0.00787
775.8	0.00745
776.0	0.00701
776.2	0.00661
776.4	0.00641
776.6	0.00613
776.8	0.00592
777.0	0.00567
777.2	0.00557
777.4	0.00539
777.6	0.00524
777.8	0.00515
778.0	0.0051
778.2	0.00505
778.4	0.00507
778.6	0.00496
778.8	0.00488
779.0	0.00494
779.2	0.00495
779.4	0.00499
779.6	0.00504
779.8	0.00504
780.0	0.00516
780.2	0.00521
780.4	0.00534
780.6	0.00546
780.8	0.00559
781.0	0.00577
781.2	0.00596
781.4	0.00616
781.6	0.00635
781.8	0.00667
782.0	0.00697
782.2	0.00729
782.4	0.0076
782.6	0.00797
782.8	0.00844
783.0	0.0089
783.2	0.00944
783.4	0.01004
783.6	0.01069
783.8	0.01136
784.0	0.01221
784.2	0.01313
784.4	0.01414
784.6	0.01525
784.8	0.01649
785.0	0.01792
785.2	0.01955
785.4	0.02133
785.6	0.02345
785.8	0.02577
786.0	0.02827
786.2	0.03128
786.4	0.03462
786.6	0.03851
786.8	0.04287
787.0	0.04771
787.2	0.05349
787.4	0.05985
787.6	0.06731
787.8	0.07583
788.0	0.08544
788.2	0.09624
788.4	0.10895
788.6	0.12339
788.8	0.13925
789.0	0.15707
789.2	0.17747
789.4	0.19988
789.6	0.22334
789.8	0.25088
790.0	0.28184
790.2	0.31359
790.4	0.34667
790.6	0.38171
790.8	0.41863
791.0	0.45661
791.2	0.49613
791.4	0.53801
791.6	0.58064
791.8	0.62097
792.0	0.65995
792.2	0.6983
792.4	0.73558
792.6	0.7731
792.8	0.80765
793.0	0.83827
793.2	0.86479
793.4	0.88835
793.6	0.90957
793.8	0.92707
794.0	0.9407
794.2	0.95175
794.4	0.96221
794.6	0.96584
794.8	0.97
795.0	0.97407
795.2	0.97674
795.4	0.97887
795.6	0.98138
795.8	0.98369
796.0	0.98485
796.2	0.98659
796.4	0.98852
796.6	0.99138
796.8	0.99512
797.0	0.99639
797.2	0.9954
797.4	0.99586
797.6	0.99635
797.8	0.99418
798.0	0.99375
798.2	0.99184
798.4	0.99221
798.6	0.99425
798.8	0.99676
799.0	0.99663
799.2	0.99669
799.4	0.99575
799.6	0.9935
799.8	0.9932
800.0	0.99468
800.2	0.99393
800.4	0.99464
800.6	0.99486
800.8	0.99468
801.0	0.99407
801.2	0.99201
801.4	0.99038
801.6	0.99245
801.8	0.99113
802.0	0.98937
802.2	0.98952
802.4	0.98905
802.6	0.98573
802.8	0.98451
803.0	0.98464
803.2	0.98483
803.4	0.98495
803.6	0.98307
803.8	0.98199
804.0	0.98333
804.2	0.98309
804.4	0.98338
804.6	0.98333
804.8	0.98477
805.0	0.98514
805.2	0.98285
805.4	0.98063
805.6	0.97921
805.8	0.98153
806.0	0.9826
806.2	0.98318
806.4	0.98324
806.6	0.98256
806.8	0.9825
807.0	0.98212
807.2	0.98235
807.4	0.9832
807.6	0.98314
807.8	0.98246
808.0	0.98268
808.2	0.98481
808.4	0.9867
808.6	0.9853
808.8	0.98796
809.0	0.98983
809.2	0.99166
809.4	0.99219
809.6	0.99316
809.8	0.99343
810.0	0.99259
810.2	0.99215
810.4	0.9908
810.6	0.99078
810.8	0.99181
811.0	0.99229
811.2	0.9903
811.4	0.98951
811.6	0.98815
811.8	0.98982
812.0	0.9898
812.2	0.98873
812.4	0.98777
812.6	0.98559
812.8	0.98612
813.0	0.98602
813.2	0.98504
813.4	0.98246
813.6	0.98163
813.8	0.98266
814.0	0.98328
814.2	0.98236
814.4	0.98019
814.6	0.97963
814.8	0.97837
815.0	0.97903
815.2	0.97926
815.4	0.97987
815.6	0.97863
815.8	0.9799
816.0	0.9822
816.2	0.9813
816.4	0.98022
816.6	0.98135
816.8	0.98172
817.0	0.98136
817.2	0.98298
817.4	0.98568
817.6	0.98828
817.8	0.98985
818.0	0.9901
818.2	0.99167
818.4	0.9928
818.6	0.99406
818.8	0.99355
819.0	0.99584
819.2	0.99468
819.4	0.99174
819.6	0.9909
819.8	0.99072
820.0	0.9894
820.2	0.98999
820.4	0.99079
820.6	0.9892
820.8	0.99006
821.0	0.98878
821.2	0.98679
821.4	0.98616
821.6	0.98612
821.8	0.98403
822.0	0.98218
822.2	0.97967
822.4	0.97857
822.6	0.97733
822.8	0.98041
823.0	0.98165
823.2	0.98046
823.4	0.97991
823.6	0.98064
823.8	0.98045
824.0	0.98051
824.2	0.9824
824.4	0.98493
824.6	0.98462
824.8	0.98393
825.0	0.98544
825.2	0.9872
825.4	0.98725
825.6	0.9881
825.8	0.98911
826.0	0.99055
826.2	0.992
826.4	0.99341
826.6	0.99385
826.8	0.99525
827.0	0.99417
827.2	0.99396
827.4	0.99304
827.6	0.99275
827.8	0.99347
828.0	0.99575
828.2	0.99645
828.4	0.99576
828.6	0.99485
828.8	0.99416
829.0	0.99265
829.2	0.98909
829.4	0.98871
829.6	0.99132
829.8	0.98972
830.0	0.98741
830.2	0.98241
830.4	0.98117
830.6	0.97944
830.8	0.97733
831.0	0.97834
831.2	0.97984
831.4	0.97861
831.6	0.97718
831.8	0.97643
832.0	0.97732
832.2	0.97886
832.4	0.97742
832.6	0.97613
832.8	0.97493
833.0	0.97559
833.2	0.97529
833.4	0.97454
833.6	0.97478
833.8	0.97592
834.0	0.97649
834.2	0.9766
834.4	0.97769
834.6	0.97882
834.8	0.98026
835.0	0.98254
835.2	0.98308
835.4	0.98292
835.6	0.9844
835.8	0.985
836.0	0.98805
836.2	0.98941
836.4	0.98881
836.6	0.98975
836.8	0.98996
837.0	0.99111
837.2	0.9918
837.4	0.99267
837.6	0.99557
837.8	0.99817
838.0	0.9969
838.2	0.9944
838.4	0.99113
838.6	0.98921
838.8	0.98886
839.0	0.989
839.2	0.98733
839.4	0.98623
839.6	0.98799
839.8	0.98833
840.0	0.98518
840.2	0.98541
840.4	0.98637
840.6	0.98219
840.8	0.98101
841.0	0.98051
841.2	0.97786
841.4	0.97887
841.6	0.97819
841.8	0.97657
842.0	0.97588
842.2	0.97609
842.4	0.97721
842.6	0.97661
842.8	0.97634
843.0	0.97675
843.2	0.97572
843.4	0.97612
843.6	0.97765
843.8	0.97909
844.0	0.97802
844.2	0.97737
844.4	0.97861
844.6	0.9808
844.8	0.98113
845.0	0.98216
845.2	0.98088
845.4	0.98232
845.6	0.98454
845.8	0.986
846.0	0.98844
846.2	0.99066
846.4	0.99123
846.6	0.99095
846.8	0.99037
847.0	0.98882
847.2	0.99204
847.4	0.99342
847.6	0.99243
847.8	0.99231
848.0	0.98996
848.2	0.98888
848.4	0.99167
848.6	0.9933
848.8	0.99109
849.0	0.9896
849.2	0.98941
849.4	0.98943
849.6	0.99018
849.8	0.98693
850.0	0.98512
850.2	0.98376
850.4	0.98244
850.6	0.98363
850.8	0.9853
851.0	0.98493
851.2	0.98584
851.4	0.98565
851.6	0.98364
851.8	0.9813
852.0	0.9807
852.2	0.98105
852.4	0.97929
852.6	0.97596
852.8	0.97549
853.0	0.97589
853.2	0.97667
853.4	0.97607
853.6	0.97535
853.8	0.9756
854.0	0.97918
854.2	0.98079
854.4	0.981
854.6	0.98038
854.8	0.97994
855.0	0.98079
855.2	0.98449
855.4	0.98636
855.6	0.98436
855.8	0.98224
856.0	0.98327
856.2	0.9854
856.4	0.98395
856.6	0.98324
856.8	0.98253
857.0	0.98085
857.2	0.98076
857.4	0.98261
857.6	0.98426
857.8	0.98235
858.0	0.98333
858.2	0.98488
858.4	0.98697
858.6	0.98821
858.8	0.98808
859.0	0.98699
859.2	0.98718
859.4	0.98632
859.6	0.98474
859.8	0.98485
860.0	0.98535
860.2	0.98314
860.4	0.98209
860.6	0.98234
860.8	0.98081
861.0	0.98063
861.2	0.98044
861.4	0.97833
861.6	0.97842
861.8	0.98072
862.0	0.98061
862.2	0.98093
862.4	0.98317
862.6	0.98392
862.8	0.98142
863.0	0.97764
863.2	0.97724
863.4	0.97926
863.6	0.97853
863.8	0.98077
864.0	0.98063
864.2	0.97949
864.4	0.97745
864.6	0.97744
864.8	0.97902
865.0	0.97919
865.2	0.97857
865.4	0.97994
865.6	0.98171
865.8	0.98153
866.0	0.98019
866.2	0.97866
866.4	0.98144
866.6	0.98214
866.8	0.97967
867.0	0.97728
867.2	0.97801
867.4	0.97864
867.6	0.97864
867.8	0.9795
868.0	0.98173
868.2	0.98478
868.4	0.98689
868.6	0.98724
868.8	0.98485
869.0	0.9855
869.2	0.98647
869.4	0.98589
869.6	0.98573
869.8	0.98704
870.0	0.98654
870.2	0.98497
870.4	0.98405
870.6	0.98318
870.8	0.98271
871.0	0.98225
871.2	0.98299
871.4	0.98325
871.6	0.98193
871.8	0.98205
872.0	0.98006
872.2	0.98094
872.4	0.9815
872.6	0.97948
872.8	0.9805
873.0	0.98047
873.2	0.98073
873.4	0.97986
873.6	0.97957
873.8	0.97986
874.0	0.979
874.2	0.9795
874.4	0.98167
874.6	0.98341
874.8	0.98524
875.0	0.98687
875.2	0.98626
875.4	0.98518
875.6	0.98561
875.8	0.98449
876.0	0.98199
876.2	0.97917
876.4	0.97721
876.6	0.97686
876.8	0.97687
877.0	0.9774
877.2	0.97942
877.4	0.97946
877.6	0.98037
877.8	0.98088
878.0	0.98108
878.2	0.98138
878.4	0.98108
878.6	0.97907
878.8	0.97961
879.0	0.98146
879.2	0.98319
879.4	0.98385
879.6	0.98733
879.8	0.98636
880.0	0.98517
880.2	0.98546
880.4	0.98624
880.6	0.98679
880.8	0.98709
881.0	0.9853
881.2	0.98584
881.4	0.98712
881.6	0.98746
881.8	0.98621
882.0	0.98558
882.2	0.98462
882.4	0.98493
882.6	0.98449
882.8	0.98552
883.0	0.98794
883.2	0.98763
883.4	0.98726
883.6	0.98689
883.8	0.987
884.0	0.98644
884.2	0.98667
884.4	0.9855
884.6	0.98719
884.8	0.99047
885.0	0.99064
885.2	0.98981
885.4	0.98765
885.6	0.98405
885.8	0.98116
886.0	0.9807
886.2	0.98246
886.4	0.9822
886.6	0.9835
886.8	0.98423
887.0	0.98336
887.2	0.98005
887.4	0.97922
887.6	0.97767
887.8	0.97664
888.0	0.97757
888.2	0.97681
888.4	0.97613
888.6	0.9759
888.8	0.97681
889.0	0.97749
889.2	0.97664
889.4	0.97398
889.6	0.97387
889.8	0.97356
890.0	0.97456
890.2	0.97607
890.4	0.97447
890.6	0.97205
890.8	0.97084
891.0	0.9731
891.2	0.97533
891.4	0.97494
891.6	0.97244
891.8	0.97257
892.0	0.9722
892.2	0.97524
892.4	0.97786
892.6	0.97977
892.8	0.98151
893.0	0.98096
893.2	0.98095
893.4	0.98051
893.6	0.9839
893.8	0.98678
894.0	0.98539
894.2	0.98683
894.4	0.98683
894.6	0.98784
894.8	0.98822
895.0	0.98557
895.2	0.98401
895.4	0.98599
895.6	0.98707
895.8	0.98631
896.0	0.98672
896.2	0.98775
896.4	0.98905
896.6	0.9891
896.8	0.98726
897.0	0.98666
897.2	0.98642
897.4	0.9866
897.6	0.98653
897.8	0.98496
898.0	0.98421
898.2	0.98602
898.4	0.98548
898.6	0.98706
898.8	0.9875
899.0	0.98532
899.2	0.9842
899.4	0.98283
899.6	0.98126
899.8	0.98013
900.0	0.98049
900.2	0.97891
900.4	0.97708
900.6	0.97551
900.8	0.97427
901.0	0.97272
901.2	0.97377
901.4	0.97207
901.6	0.97213
901.8	0.97305
902.0	0.97342
902.2	0.97204
902.4	0.97144
902.6	0.97215
902.8	0.97406
903.0	0.97576
903.2	0.97664
903.4	0.97761
903.6	0.97643
903.8	0.97595
904.0	0.97508
904.2	0.97493
904.4	0.9743
904.6	0.97499
904.8	0.97254
905.0	0.97192
905.2	0.97391
905.4	0.9754
905.6	0.97641
905.8	0.97784
906.0	0.97917
906.2	0.9806
906.4	0.98048
906.6	0.98113
906.8	0.98349
907.0	0.98471
907.2	0.98335
907.4	0.98143
907.6	0.98015
907.8	0.97963
908.0	0.98187
908.2	0.98459
908.4	0.98442
908.6	0.9845
908.8	0.9838
909.0	0.98552
909.2	0.98994
909.4	0.99124
909.6	0.99009
909.8	0.98911
910.0	0.98886
910.2	0.98898
910.4	0.98947
910.6	0.98989
910.8	0.9873
911.0	0.98557
911.2	0.98869
911.4	0.99125
911.6	0.99213
911.8	0.99192
912.0	0.99222
912.2	0.9929
912.4	0.994
912.6	0.99255
912.8	0.99004
913.0	0.99108
913.2	0.98942
913.4	0.98679
913.6	0.98621
913.8	0.98413
914.0	0.98294
914.2	0.9849
914.4	0.98583
914.6	0.98519
914.8	0.98248
915.0	0.9829
915.2	0.98341
915.4	0.98403
915.6	0.98134
915.8	0.98198
916.0	0.9804
916.2	0.98096
916.4	0.98018
916.6	0.97931
916.8	0.98043
917.0	0.97923
917.2	0.97813
917.4	0.97852
917.6	0.97829
917.8	0.97831
918.0	0.97861
918.2	0.97654
918.4	0.97573
918.6	0.97726
918.8	0.98018
919.0	0.98253
919.2	0.98168
919.4	0.98023
919.6	0.9789
919.8	0.97953
920.0	0.97972
920.2	0.97875
920.4	0.98067
920.6	0.98256
920.8	0.98348
921.0	0.98477
921.2	0.98582
921.4	0.98631
921.6	0.98708
921.8	0.98735
922.0	0.98849
922.2	0.98891
922.4	0.98969
922.6	0.99042
922.8	0.98949
923.0	0.99044
923.2	0.99352
923.4	0.99522
923.6	0.99627
923.8	0.99389
924.0	0.99279
