cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,4,0,2318.4,-0.93697,12.857,12.1813,93.4264,0.0326748,-896.471,122.867,3.41143,-1.27781,8.28274,-3.25214,-3.02085,-695.929,5319.86,47.919,1152.03,6051.87,7.79351,3.10427,17.0469,1.12994,1.36123,0.439907,6295.97,120.223,2128.14,0.782979,0.967664,0.0942559,8041.05 
1,2.6,1,5881.92,-0.0776706,16.044,11.4322,93.3332,-0.102368,156.232,500,5.68287,1.21358,3.56336,1.11529,1.63598,-488.368,2806.21,58.7714,5796.07,6491.51,8.75799,4.2887,9.7136,4.19041,4.7111,0.693207,3491.2,109.511,6481.05,0.396472,0.947963,0.0301866,8805.66 
2,1.2,2,8073.71,0.00932768,16.4409,11.9415,92.6331,-0.0164378,7.64081,1.42433e-11,1.76975,4.77707,3.11041,-2.49656,-1.00525,-141.601,25.0056,56.4062,9297.24,6395.24,2.66137,5.66869,4.89365,-1.60494,-0.113626,0.574655,223.614,71.1179,9495.85,0.0279161,0.642439,0.0136085,8010.21 
3,2.1,3,6207.89,-0.00274413,14.7889,11.6722,92.5644,-0.00912471,16.417,3.91756e-11,3.03221,3.101,0.519395,-3.94971,-3.38475,-338.372,1298.22,32.4186,6895.16,5624.2,5.16285,5.23164,4.78067,-1.81907,-1.25411,0.604968,1772.82,67.5741,7369.76,0.226818,0.937467,0.0166099,7816.02 
4,3.5,4,2144.9,-0.275697,11.1333,11.0949,93.0981,0.18623,-79.2958,500,0.315842,4.60944,-3.66214,2.17938,-1.56592,-669.199,3971.18,21.1591,1669.03,4501.78,4.52961,8.82321,4.7654,6.39315,2.64785,0.824538,4909.8,90.6863,2607.64,0.696616,0.968689,0.0602061,7048.06 
5,0,5,6435.52,-0.020933,13.1714,12.2394,92.4135,-0.0133222,19.2821,1.49716e-12,-3.07736,-4.52876,-2.24855,-0.256801,3.63349,-211.804,-85.7427,32.4664,7574.76,5256.3,-1.74368,-3.19509,0.418803,1.07687,4.96716,0.725207,211.334,54.4721,7871.83,0.0317021,0.689147,0.0125867,6666.24 
6,2.2,6,6032.6,-0.50892,15.6817,12.0363,92.7136,0.534023,-41.9208,219.317,-1.63536,-1.69672,7.55549,1.81352,-0.628878,-430.617,1589.73,33.9681,6814.8,6873.19,1.07612,1.01476,12.9785,4.525,2.0826,0.401278,2193.71,78.7075,7418.78,0.265033,0.940922,0.0191687,8277.11 
7,1.65,7,5422.61,-0.272868,11.9702,12.4252,92.4617,0.183609,-6.28288,421.959,-2.37444,1.11764,4.43562,-6.22715,0.042361,-224.683,238.767,45.0549,6568.77,4879.24,-0.95967,2.53241,7.26515,-4.81239,1.45713,-0.325122,553.906,68.3986,6883.91,0.0893582,0.822303,0.0179742,6198.71 
8,1.55,8,3960.88,-0.251448,9.44818,12.1241,92.8468,-0.134569,359.06,14.2904,-2.01735,3.37921,6.02482,2.94115,-4.65896,-256.922,92.6969,38.5061,5140.5,5301.93,-0.399578,4.99698,9.26036,4.55892,-3.04119,0.397719,453.056,65.1994,5500.86,0.0912727,0.798822,0.0213672,4963.76 
9,1.35,9,4725.72,-0.255974,10.3907,12.5487,92.3919,0.0826732,-34.5782,391.632,2.61604,-2.01732,0.0271946,1.83654,-3.88012,-195.833,-19.1773,42.8807,5977.4,4337.68,3.84914,-0.784211,2.49341,3.06965,-2.64701,0.58311,255.497,63.227,6252.08,0.0474707,0.697804,0.0182884,5382.2 
10,2.4,10,5703.59,-0.194254,15.6738,11.5224,92.9448,1.43333,-867.868,500,3.52181,0.370974,1.02278,-1.40738,-0.108862,-386.591,2243.87,56.7701,6080.13,46373.6,5.95607,2.80524,5.89131,1.02688,2.3254,0.672794,2786.1,96.9354,6622.36,0.339089,0.942608,0.026256,8216.44 
11,3,11,5920.92,-0.0233324,18.0284,11.1591,93.3999,0.0325153,-14.518,499.997,2.04645,2.94252,4.84293,0.588622,-0.649721,-707.744,4754.47,89.5419,4661.67,6564.49,6.50293,7.399,13.7559,5.0451,3.80676,0.623226,5747.15,163.074,5654.35,0.553477,0.952693,0.050447,10383.7 
12,5,12,1287.41,-0.0849067,11.6179,10.6327,93.6186,-0.22923,165.403,3.52261e-08,6.85978,-1.56069,3.66514,-1.31181,0.345998,-816.582,5211.94,-1.97559,623.399,5255.56,12.0016,3.5811,13.9487,3.82999,5.4878,0.640952,6357.28,82.8641,1768.73,0.814238,0.977698,0.0794452,7807.64 
13,1.45,13,5954.59,-0.257652,12.8074,12.3804,92.4607,0.254588,-33.3233,101.2,4.1601,-4.16889,-0.487631,-0.724348,2.58665,-293.665,-2.38514,15.008,7198.04,5437.85,6.00923,-2.31976,3.21063,1.12478,4.43578,0.742339,409.509,45.5187,7609.94,0.0615834,0.837156,0.0108984,6649.66 
