# trap integrated unitary bulk sum rule from Enss, PRL 123, 205301 (2019)
# global T/TF[TF=\hbar\omega(3N)^(1/3)], S(T/TF)[EF/(kFa)^2]: Thomas-Fermi, Gaussian profile, minimum of both
T/T_F S_TF S_Gauss S_min_both
1.584893192461113431e-01 1.822307895394725541e-01 3.240269062733455718e-01 1.822307895394725541e-01
1.757923613958692621e-01 1.743997414406634194e-01 2.533541117948323595e-01 1.743997414406634194e-01
1.949844599758044916e-01 1.676734099927653099e-01 2.053833567500990553e-01 1.676734099927653099e-01
2.162718523727020226e-01 1.614502399184724324e-01 1.743657173833399188e-01 1.614502399184724324e-01
2.398832919019489862e-01 1.554305106463542974e-01 1.553365266576070269e-01 1.553365266576070269e-01
2.660725059798809133e-01 1.494543934545115582e-01 1.420052695779595309e-01 1.420052695779595309e-01
2.951209226666385299e-01 1.434371078955846701e-01 1.298484837850670259e-01 1.298484837850670259e-01
3.273406948788381565e-01 1.373050425397681074e-01 1.178135683715237636e-01 1.178135683715237636e-01
3.630780547701012995e-01 1.310213372417766420e-01 1.056373348345736179e-01 1.056373348345736179e-01
4.027170343254590223e-01 1.245838767038141143e-01 9.334424097279007959e-02 9.334424097279007959e-02
4.466835921509630380e-01 1.179926286539337427e-01 8.112569013294076981e-02 8.112569013294076981e-02
4.954501908047901915e-01 1.112690427391260922e-01 6.928461644759387195e-02 6.928461644759387195e-02
5.495408738576245122e-01 1.044634079523782261e-01 5.809749420632955713e-02 5.809749420632955713e-02
6.095368972401690177e-01 9.762948446135097380e-02 4.784358619354239089e-02 4.784358619354239089e-02
6.760829753919816998e-01 9.081080760385733253e-02 3.870600081478115656e-02 3.870600081478115656e-02
7.498942093324556524e-01 8.404986602270123064e-02 3.077819907105722175e-02 3.077819907105722175e-02
8.317637711026708569e-01 7.740088104150466553e-02 2.409723854176400865e-02 2.409723854176400865e-02
9.225714271547631462e-01 7.093168649575587459e-02 1.861660386490474398e-02 1.861660386490474398e-02
1.023292992280753877e+00 6.469522004676531157e-02 1.426175789659519730e-02 1.426175789659519730e-02
1.135010815672314877e+00 5.872081907797719463e-02 1.086167156412940794e-02 1.086167156412940794e-02
1.258925411794166838e+00 5.303379846345600973e-02 8.202242468722488120e-03 8.202242468722488120e-03
1.396368361055937202e+00 4.766266716605511988e-02 6.147002729566597608e-03 6.147002729566597608e-03
1.548816618912481236e+00 4.263527621396231287e-02 4.578391663679132716e-03 4.578391663679132716e-03
1.717908387157587535e+00 3.796842313266157731e-02 3.393218485158444164e-03 3.393218485158444164e-03
1.905460717963247230e+00 3.366539294966283680e-02 2.505045073547250336e-03 2.505045073547250336e-03
2.113489039836646377e+00 2.972704138660056325e-02 1.843744889041711585e-03 1.843744889041711585e-03
2.344228815319921555e+00 2.615770506861649775e-02 1.354024463553587989e-03 1.354024463553587989e-03
2.600159563165270971e+00 2.296312322021467831e-02 9.930984694439548306e-04 9.930984694439548306e-04
2.884031503126605500e+00 2.013626773343528062e-02 7.278087939232848972e-04 7.278087939232848972e-04
3.198895109691397121e+00 1.763939438052530145e-02 5.333561396212203138e-04 5.333561396212203138e-04
3.548133892335753270e+00 1.542226392976639437e-02 3.908564640146889495e-04 3.908564640146889495e-04
3.935500754557774261e+00 1.344998660473731115e-02 2.864292057658871763e-04 2.864292057658871763e-04
4.365158322401658353e+00 1.170154970613711438e-02 2.099023489927334858e-04 2.099023489927334858e-04
4.841723675840991170e+00 1.015874265986427272e-02 1.538215909053592876e-04 1.538215909053592876e-04
5.370317963702526676e+00 8.802524554817788005e-03 1.127242355419032834e-04 1.127242355419032834e-04
5.956621435290103683e+00 7.613999689698221045e-03 8.260708528443515741e-05 8.260708528443515741e-05
6.606934480075957516e+00 6.575624090327701447e-03 6.053649870753187928e-05 6.053649870753187928e-05
7.328245331389040551e+00 5.670923976561924665e-03 4.436263140321086370e-05 4.436263140321086370e-05
8.128305161640991372e+00 4.884499169018047433e-03 3.251002464687130072e-05 3.251002464687130072e-05
9.015711376059565296e+00 4.202436389158384702e-03 2.382414363417773714e-05 2.382414363417773714e-05
1.000000000000000000e+01 3.612090351918160070e-03 1.745891693615046975e-05 1.745891693615046975e-05
