cyc,time,y2 piezo,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,0.66,35,0,48725.9,0,5,101,125,0,5,135,-9.16506,-5.14906,-10.0992,-7.07143,-2.19258,-287.961,-6.8036,53704.8,-44.9947,16439.4,-8.05244,-4.03643,-7.87399,-5.9588,-1.07995,0.708388,10.0248,54966.9,-28.1662,-0.42166,0.000104206,1.00028,-23.7747,329.574,268.089,0.247329,74077.7,1.18398e-06,0.251055,107.127,86.7005,24.0923,21.502,1.12047,528.635,428.423,0.401946 
1,0.01,35,1,50947.8,0,5,101,125,0,5,135,-1.11116,-5.36047,-6.45108,-6.23362,1.59995,-175.378,-6.11357,55601.6,-23.3446,16439.4,-0.433537,-4.68285,-5.09582,-5.55599,2.27758,0.622269,4.13552,56370.3,-13.0956,-0.357153,4.19203e-05,1.00013,-11.5791,319.778,409.194,0.240352,76654.3,1.19755e-06,0.30206,108.401,84.8969,24.0184,26.9289,0.891917,525.395,671.971,0.496161 
2,4.04,35,2,52547.8,0,5,101,125,0,5,135,-4.02129,-6.72184,-11.7033,-5.49453,-0.257831,-198.814,-10.2663,57278.9,-35.7834,16439.4,-3.25311,-5.95366,-10.167,-4.72636,0.510346,0.569009,1.35236,58150.3,-24.1648,-0.0489182,1.32891e-05,1.00023,-27.6453,265.214,302.025,0.194693,78657.3,1.2079e-06,0.234309,108.12,87.5451,23.6819,24.973,0.948301,510.777,577.9,0.449793 
3,3.52,35,3,50411.2,0,5,101,125,0,5,135,-3.79102,-5.83252,-14.0747,-6.14682,-0.737511,-191.802,-1.16085,54853.2,-44.1595,16439.4,-3.04993,-5.09144,-12.5926,-5.40574,0.00357304,0.518193,10.0481,55693.9,-32.9506,-0.340697,0.000103084,1.00032,-29.4926,318.278,340.649,0.261491,75144.5,1.18964e-06,0.276784,107.61,86.2057,23.2476,23.8513,0.97469,492.216,527.154,0.428184 
4,4.82,35,4,50763.8,0,5,101,125,0,5,135,-2.7099,-6.68335,-7.477,-4.91296,-2.20404,-171.067,14.845,55067.5,-39.3066,16439.4,-2.04893,-6.02238,-6.15506,-4.25199,-1.54308,0.692576,24.8422,55817.3,-29.3095,-2.40505,0.000254257,1.00029,-10.3292,364.653,422.432,0.321019,76080,1.19456e-06,0.328558,108.972,84.8284,23.352,24.9445,0.936157,496.645,576.584,0.447968 
5,2.35,35,5,51200.9,0,5,101,125,0,5,135,-6.00274,-5.34916,-11.2594,-0.869894,1.6258,-129.91,-5.97163,55919.2,-35.1502,16439.4,-5.5008,-4.84722,-10.2556,-0.36795,2.12775,0.455759,1.62028,56488.6,-27.5583,-0.0515197,1.63902e-05,1.00026,-31.4497,236.892,340.666,0.250773,77918.9,1.2041e-06,0.235926,104.877,83.8076,20.3077,24.1402,0.841239,375.595,540.001,0.374018 
6,1.44,35,6,50290.2,0,5,101,125,0,5,135,-6.56055,-7.14394,-13.9595,-4.80868,-0.131211,-227.134,5.74892,54997.3,-41.1708,16439.4,-5.68295,-6.26634,-12.2043,-3.93108,0.746389,0.553581,19.0226,55992.8,-27.8971,-1.31609,0.000194096,1.00027,-14.4539,242.674,385.117,0.226669,75063.5,1.18921e-06,0.257068,105.902,87.8691,21.3283,26.6062,0.801627,414.295,655.963,0.438364 
7,4.95,35,7,52198.2,0,5,101,125,0,5,135,-2.06499,-7.34866,-4.32348,-6.28926,-2.60788,-186.556,14.9237,56286.9,-43.8949,16439.4,-1.34417,-6.62784,-2.88185,-5.56844,-1.88706,0.842603,25.826,57104.6,-32.9926,-1.8762,0.000258367,1.00031,-13.7651,302.669,371.881,0.275072,77302.5,1.20092e-06,0.279365,108.82,83.946,22.2696,24.4954,0.909134,451.671,556.007,0.417289 
8,3.13,35,8,50804.9,0,5,101,125,0,5,135,-5.63508,-5.09436,-10.2152,-6.50862,2.57352,-222.815,-0.314848,55617.4,-40.4293,16439.4,-4.77417,-4.23344,-8.49332,-5.64771,3.43443,0.569178,12.7065,56594,-27.408,-0.629558,0.00012828,1.00026,-20.1832,300.105,390.352,0.287643,76598.3,1.19726e-06,0.285874,106.201,85.3463,21.8867,24.723,0.885277,436.275,566.391,0.415191 
9,2.09,35,9,49876.4,0,5,101,125,0,5,135,-4.34094,-2.16903,-6.38264,-0.291501,-0.816137,-201.219,-11.109,54970,-46.5114,16439.4,-3.56347,-1.39156,-4.8277,0.485968,-0.0386683,0.482863,0.650253,55851.9,-34.7522,-0.0158396,6.65279e-06,1.00034,-41.0523,237.832,319.633,0.261693,75037.5,1.18908e-06,0.231873,105.176,84.9089,20.0706,23.0448,0.87094,366.877,492.105,0.357338 
10,2.22,35,10,50095.6,0,5,101,125,0,5,135,-2.04031,-6.08396,-9.92945,-0.969467,-1.52165,-198.576,-3.52812,54925.6,-43.2942,16439.4,-1.27305,-5.3167,-8.39494,-0.20221,-0.754394,0.473384,8.07664,55795.9,-31.6894,-0.269665,8.27093e-05,1.00031,-29.9507,243.772,336.219,0.258431,75659.8,1.19235e-06,0.240103,104.503,84.5711,20.386,23.7328,0.858978,378.496,521.928,0.372762 
11,0.79,35,11,49077.2,0,5,101,125,0,5,135,-3.03724,-4.89448,-12.2204,-6.53095,-4.06162,-285.029,-7.49009,53817.3,-42.9192,16439.4,-1.93595,-3.79318,-10.0178,-5.42966,-2.96033,0.584959,9.16699,55066.6,-26.2622,-0.4102,9.51172e-05,1.00026,-22.3476,405.797,341.881,0.305561,75008.9,1.18892e-06,0.313284,107.156,87.4215,25.0107,22.7058,1.10151,569.705,477.733,0.438796 
12,1.57,35,12,48840.2,0,5,101,125,0,5,135,-1.26948,-6.53137,-3.16453,-5.64895,3.049,-114.4,-13.252,53442.6,-42.3924,16439.4,-0.827457,-6.08935,-2.28049,-5.20693,3.49102,0.791034,-6.56643,53944,-35.7068,0.132884,-6.9563e-05,1.00036,-49.4146,298.29,469.17,0.294777,74503.5,1.18625e-06,0.315362,105.585,86.8603,21.6723,26.8585,0.806905,427.767,668.461,0.450782 
13,3.26,35,13,48008.6,0,5,101,125,0,5,135,-3.70114,-6.23238,-11.9738,-5.86555,0.73129,-176.044,5.36857,52789.8,-37.1098,16439.4,-3.02094,-5.55218,-10.6134,-5.18535,1.41149,0.537751,15.6566,53561.4,-26.8218,-0.947187,0.000167007,1.00027,-16.5296,321.593,383.835,0.313288,72916.1,1.17776e-06,0.29831,106.317,86.2786,22.0908,23.904,0.924148,444.449,529.485,0.411889 
14,4.3,35,14,49844.8,0,5,101,125,0,5,135,-4.53832,-4.82994,-14.1863,-5.6163,-2.0314,-157.59,14.2602,54456.7,-43.9343,16439.4,-3.92943,-4.22104,-12.9685,-5.00741,-1.42251,0.529255,23.4698,55147.4,-34.7247,-1.28955,0.000243131,1.00034,-18.1999,308.005,352.032,0.230936,75412.1,1.19105e-06,0.276465,108.408,86.4784,23.9022,25.2962,0.944894,520.325,592.956,0.466357 
15,3.65,35,15,50269.6,0,5,101,125,0,5,135,-4.18461,-5.70733,-15.1491,-5.3536,-2.63365,-272.429,4.21849,54937,-41.713,16439.4,-3.132,-4.65472,-13.0438,-4.30099,-1.58104,0.511697,20.1392,56131.1,-25.7923,-1.86275,0.00020498,1.00025,-10.8116,296.501,331.715,0.243886,76001.4,1.19415e-06,0.262627,107.117,87.722,22.9794,24.0681,0.954765,480.923,536.781,0.42548 
16,1.7,35,16,50507.9,0,5,101,125,0,5,135,-1.59281,-2.95671,-11.134,-4.41632,-0.0148888,-162.778,-5.52688,54798.3,-49.959,16439.4,-0.963867,-2.32777,-9.87612,-3.78738,0.614052,0.395626,3.98586,55511.7,-40.4463,-0.0894699,4.10281e-05,1.0004,-44.5497,281.11,424.272,0.2881,76117,1.19475e-06,0.289056,105.377,86.6327,21.1743,25.7267,0.823047,408.335,613.312,0.418863 
