cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,0.66,0,45212.9,0,5,101,125,0,5,135,-1.32622,-2.98848,-4.20055,-0.553874,-9.02609,-295.139,-8.30291,49898.7,-40.625,16439.4,-0.185861,-1.84812,-1.91984,0.586483,-7.88573,0.829394,8.94499,51192.3,-23.3771,-0.468139,9.98375e-05,1.00025,-19.1076,324.591,265.037,0.236352,70301.8,1.16352e-06,0.252086,106.614,93.5471,24.2641,21.6782,1.11928,536.201,435.473,0.41531 
1,0.01,1,45813.3,0,5,101,125,0,5,135,-2.10036,-1.70019,-5.59202,3.05452,0.837184,-235.083,8.94634,50166.3,-33.2861,16439.4,-1.19205,-0.791883,-3.7754,3.96283,1.7455,-73.0252,22.6846,51196.6,-19.5479,-29.3484,0.000253128,1.00021,-0.772941,336.69,391.29,0.227305,72439.9,1.17519e-06,0.308855,107.671,86.0315,25.1711,26.8713,0.936728,577.037,669.1,0.528735 
2,4.04,2,48217.6,0,5,101,125,0,5,135,-1.91611,-2.43066,-4.75693,-3.49845,-0.501331,-242.277,-6.83833,52759,-35.1167,16439.4,-0.98,-1.49455,-2.88471,-2.56234,0.434778,0.614695,7.32031,53820.9,-20.958,-0.410576,7.77154e-05,1.00021,-17.8293,278.825,346.489,0.261981,74840.8,1.18804e-06,0.261626,108.783,88.2948,21.6984,23.9743,0.905066,428.798,532.606,0.402253 
3,3.52,3,46343.3,0,5,101,125,0,5,135,-2.03841,-6.89232,-3.86936,-5.32828,-2.77484,-175.561,-18.7532,50911.2,-32.4316,16439.4,-1.36008,-6.21399,-2.5127,-4.64994,-2.09651,0.85073,-8.49345,51680.7,-22.1718,0.241982,-9.39201e-05,1.00023,-35.0996,280.105,287.536,0.208386,72019.4,1.17291e-06,0.241958,107.497,89.9999,23.6475,23.7399,0.996107,509.296,522.242,0.439698 
4,4.82,4,48707.8,0,5,101,125,0,5,135,-4.50153,-3.38939,-6.10112,4.06214,-1.84212,-130.572,-13.5846,53111.1,-38.4382,16439.4,-3.99702,-2.88489,-5.09211,4.56665,-1.33761,0.417711,-5.95391,53683.4,-30.8076,0.138711,-6.33799e-05,1.00031,-42.923,240.246,297.913,0.210135,75210.1,1.18999e-06,0.224818,109.283,87.4037,21.8279,24.0372,0.908088,433.933,535.404,0.405051 
5,2.35,5,47809.3,0,5,101,125,0,5,135,-0.84966,-2.20209,-6.93873,-3.81921,-3.1756,-113.802,-2.26308,52082.1,-34.9752,16439.4,-0.409951,-1.76239,-6.05931,-3.3795,-2.73589,0.577661,4.38752,52580.9,-28.3246,-0.148217,4.76795e-05,1.00029,-29.602,260.261,283.653,0.197628,74175.9,1.18451e-06,0.229383,106.864,85.1759,23.2797,24.0945,0.966184,493.576,537.958,0.435024 
6,1.44,6,49687,0,5,101,125,0,5,135,-2.64111,-5.77758,-3.47952,-2.27219,0.705407,-173.827,-9.7265,54706.3,-25.3207,16439.4,-1.96948,-5.10595,-2.13625,-1.60055,1.37704,0.773587,0.431963,55468.2,-15.1623,-0.0243185,4.45003e-06,1.00015,-17.7627,235.905,340.806,0.222468,78168.8,1.20539e-06,0.235231,105.81,87.2793,21.1693,25.1708,0.841028,408.143,587.091,0.406098 
7,4.95,7,48427.9,0,5,101,125,0,5,135,-2.60953,-2.80507,-8.06615,0.912181,-1.82658,-131.17,10.6555,52983.4,-33.6363,16439.4,-2.10272,-2.29826,-7.05252,1.419,-1.31977,0.378866,18.321,53558.3,-25.9708,-1.42644,0.000195434,1.00026,-12.8439,224.522,262.003,0.183216,75328.5,1.19061e-06,0.20371,108.414,87.2221,22.266,23.8422,0.93389,451.526,526.751,0.409614 
8,3.13,8,48028.6,0,5,101,125,0,5,135,-1.14988,-4.45386,-8.94465,-7.75318,-4.74342,-160.915,-24.9367,52397.5,-40.4901,16439.4,-0.528143,-3.83212,-7.70116,-7.13144,-4.12168,0.669684,-15.5328,53102.8,-31.0863,0.29398,-0.000167174,1.00032,-52.8364,347.036,336.26,0.235049,74448.8,1.18596e-06,0.288042,107.805,91.3767,25.2001,24.5385,1.02696,578.368,557.969,0.479003 
9,2.09,9,46855.6,0,5,101,125,0,5,135,-1.36622,-4.20754,-2.41101,-3.58369,-3.34853,-88.4808,-8.11754,51229.5,-34.5711,16439.4,-1.02434,-3.86567,-1.72726,-3.24182,-3.00666,0.865747,-2.94672,51617.3,-29.4003,0.0770847,-3.26227e-05,1.00031,-38.227,223.128,254.781,0.190697,73038.9,1.17842e-06,0.20233,106.747,84.1397,21.8552,23.1615,0.9436,435.018,497.103,0.394617 
