cyc,time,y2 piezo,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,6.73,75,0,40833.2,0,5,101,125,0,5,135,-3.55786,-4.94591,-9.32357,-10.0004,-1.94234,-66.3836,-5.6666,44849,-35.7941,16439.4,-3.30137,-4.68941,-8.81059,-9.74392,-1.68585,0.687912,-1.78714,45140,-31.9146,0.0445842,-2.2624e-05,1.00038,-40.0847,338.688,368.846,0.288599,65557.6,1.13673e-06,0.310931,107.218,87.7477,23.2113,23.9856,0.967716,490.678,533.107,0.449933 
1,0.01,75,1,41194.2,0,5,101,125,0,5,135,-3.2378,-4.02269,-7.9307,-5.60051,-0.129436,-99.194,2.04194,44947.5,-22.0265,16439.4,-2.85453,-3.63942,-7.16417,-5.21725,0.25383,0.615275,7.83884,45382.3,-16.2296,-0.673633,9.86926e-05,1.00019,-11.6367,329.414,392.486,0.231292,65202.5,1.13468e-06,0.316892,108.579,86.118,24.7315,26.7532,0.924431,557.055,663.228,0.535684 
2,4.63,75,2,40793.4,0,5,101,125,0,5,135,-1.35605,-4.36925,-1.79128,-5.4692,-4.8436,-111.686,-4.33577,44504.1,-31.7118,16439.4,-0.924517,-3.93772,-0.928212,-5.03766,-4.41207,0.939094,2.19115,44993.6,-25.1849,-0.0781697,2.78274e-05,1.0003,-28.0307,217.794,292.405,0.221089,63782.1,1.12638e-06,0.224043,109.462,85.6784,20.3518,23.4055,0.869529,377.227,507.632,0.388501 
3,5.89,75,3,40716.1,0,5,101,125,0,5,135,-4.58979,-3.64736,-6.49125,0.821189,0.90695,-70.1956,-7.35862,44767.1,-31.7055,16439.4,-4.31857,-3.37614,-5.94881,1.09241,1.17817,0.476933,-3.25639,45074.8,-27.6033,0.0895096,-4.12841e-05,1.00033,-36.3803,275.322,274.118,0.198426,64318.8,1.12953e-06,0.243217,108.394,88.1208,23.8807,23.6348,1.0104,519.387,517.627,0.459048 
4,2.53,75,4,39870.2,0,5,101,125,0,5,135,-2.70852,-3.89541,-9.01223,-6.39862,-4.54282,-58.4452,-0.61335,43242.5,-36.0054,16439.4,-2.4827,-3.66959,-8.56059,-6.1728,-4.317,0.66033,2.80219,43498.6,-32.5899,-0.0771832,3.68101e-05,1.00041,-36.3057,232.102,300.477,0.194972,63161.3,1.12271e-06,0.235222,107.365,83.074,22.1076,24.9375,0.886521,445.124,576.259,0.45111 
5,7.15,75,5,40541.1,0,5,101,125,0,5,135,-2.6781,-5.54387,-5.04495,-4.39111,-4.07438,-80.0693,-0.448423,44422,-29.8506,16439.4,-2.36873,-5.2345,-4.42621,-4.08174,-3.76501,0.777311,4.23083,44773,-25.1713,-0.162882,5.39943e-05,1.00031,-25.9747,272.416,336.355,0.261778,64515.9,1.13068e-06,0.267717,106.698,85.912,21.4541,23.6472,0.907256,419.198,518.172,0.4122 
6,3.79,75,6,38941.1,0,5,101,125,0,5,135,-2.85285,-2.5378,-7.00033,-0.480293,-3.75174,-118.179,-3.51664,42579.3,-30.7634,16439.4,-2.39624,-2.08118,-6.08709,-0.0236736,-3.29513,0.561553,3.38973,43097.3,-23.8571,-0.134306,4.49425e-05,1.0003,-25.2388,269.093,305.093,0.217475,61649.9,1.11368e-06,0.25728,108.663,88.1559,22.7912,24.0477,0.947749,473.078,535.871,0.452101 
7,3.37,75,7,39046.8,0,5,101,125,0,5,135,-2.09904,-0.153476,-4.11279,-0.851615,-6.29621,-125.623,-5.89836,42923.2,-36.6436,16439.4,-1.61366,0.331908,-3.14202,-0.366232,-5.81082,0.703606,1.44308,43473.8,-29.3021,-0.0427965,1.89677e-05,1.00037,-33.7195,276.471,261.571,0.199715,61766.4,1.11438e-06,0.241316,108.274,89.3033,23.8524,23.018,1.03625,518.159,490.962,0.452607 
8,8.41,75,8,42054.8,0,5,101,125,0,5,135,-5.17174,-2.29121,-11.0499,-4.16895,-4.44153,-111.359,-6.83865,45849.5,-30.6848,16439.4,-4.74147,-1.86094,-10.1894,-3.73868,-4.01126,0.584814,-0.330801,46337.6,-24.177,0.0112735,-4.07941e-06,1.00028,-29.3432,243.689,285.7,0.207561,65751.9,1.13785e-06,0.231893,106.848,87.6826,22.0668,23.6929,0.931369,443.484,520.174,0.422111 
9,8.83,75,9,40654.3,0,5,101,125,0,5,135,-5.15847,-3.34936,-6.7973,-3.21134,-2.55762,-159.177,-14.5829,44479.2,-39.8558,16439.4,-4.54344,-2.73433,-5.56724,-2.59631,-1.94259,0.679747,-5.28059,45176.9,-30.5535,0.125894,-6.67971e-05,1.00037,-41.9448,265.292,282.472,0.207224,65125.3,1.13423e-06,0.241351,107.733,87.1588,23.0355,23.5695,0.977342,483.274,514.772,0.439748 
